graph,Formalisation,Structural accuracy,Consistency,Syntactic validity,Redundancy,Interpretability,Inference,Understandability,Trustworthiness,Provenance,Clustering,Interoperability,Versatility,Licensing,Accessibility,Reusability
allgraph_a20language,1.0,5.0,4.428571428571429,3.6666666666666665,5.0,4.2,3.4,3.375,2.5,1.0,3.6666666666666665,3.0,1.5,1.0,2.0,1.6666666666666667
allgraph_a20wrongDT,1.0,5.0,4.285714285714286,3.3333333333333335,5.0,4.2,3.4,3.375,2.5,1.0,3.6666666666666665,3.0,1.0,1.0,2.0,1.6666666666666667
allgraph_a50language,1.0,5.0,4.428571428571429,3.6666666666666665,5.0,4.2,3.4,3.375,2.5,1.0,3.6666666666666665,3.0,2.0,1.0,2.0,1.6666666666666667
allgraph_a50wrongDT,1.0,5.0,4.142857142857143,3.0,5.0,4.2,3.4,3.375,2.5,1.0,3.6666666666666665,3.0,1.0,1.0,2.0,1.6666666666666667
allgraph_a90language,1.0,5.0,4.428571428571429,3.6666666666666665,5.0,4.2,3.4,3.375,2.5,1.0,3.6666666666666665,3.0,3.0,1.0,2.0,1.6666666666666667
allgraph_a90wrongDT,1.0,5.0,3.857142857142857,2.3333333333333335,5.0,4.2,3.4,3.375,2.5,1.0,3.6666666666666665,3.0,1.0,1.0,2.0,1.6666666666666667
allgraph_d20descriptions,1.0,5.0,4.428571428571429,3.6666666666666665,5.0,4.2,3.4,3.125,2.5,1.0,3.6666666666666665,3.0,1.0,1.0,2.0,1.6666666666666667
allgraph_d20labels,1.0,5.0,4.428571428571429,3.6666666666666665,5.0,4.2,3.4,3.25,2.5,1.0,3.6666666666666665,3.0,1.0,1.0,2.0,1.6666666666666667
allgraph_d50descriptions,1.0,5.0,4.428571428571429,3.6666666666666665,5.0,4.2,3.4,2.75,2.5,1.0,3.6666666666666665,3.0,1.0,1.0,2.0,1.6666666666666667
allgraph_d50labels,1.0,5.0,4.428571428571429,3.6666666666666665,5.0,4.2,3.4,2.75,2.5,1.0,3.6666666666666665,3.0,1.0,1.0,2.0,1.6666666666666667
allgraph_d90descriptions,1.0,5.0,4.428571428571429,3.6666666666666665,5.0,4.2,3.4,2.25,2.5,1.0,3.5,3.0,1.0,1.0,2.0,1.6666666666666667
allgraph_d90labels,1.0,5.0,4.428571428571429,3.6666666666666665,5.0,4.2,3.4,2.25,2.5,1.0,3.5,3.0,1.0,1.0,2.0,1.6666666666666667
