graph,Annotation richness metric,Basic provenance metric,Classes per instance metric,Compatible datatype metric,Deprecated terms metric,Dereferenceable uris metric,Descriptions per instance metric,Different serialisation formats metric,Entities with no type metric,Evidence metric,Extensional conciseness metric,Human readable license metric,Instances with multiple types metric,Instances with no description metric,Instances with no name metric,Instances with no synonyms metric,Machine license metric,Misplaced class property metric,Misused properties metric,Multiple languages metric,Names per instance metric,Relations per node metric,Reuse terms metric,Different serialisation formats metric,Synonyms per instance metric,Traceability of the data metric,Usage of undefined terms metric,Used vocabularies metric,Valid format metric
crm2tfac_a20language,5,1,3,5,5,5,5,1,2,5,5,1,3,5,5,1,1,5,5,2,5,1,5,1,5,1,5,1,5
crm2tfac_a20wrongDT,5,1,3,5,5,5,5,1,2,5,5,1,3,5,5,1,1,5,5,1,5,1,5,1,5,1,5,1,5
crm2tfac_a50language,5,1,3,5,5,5,5,1,2,5,5,1,3,5,5,1,1,5,5,3,5,1,5,1,5,1,5,1,5
crm2tfac_a50wrongDT,5,1,3,3,5,5,5,1,2,5,5,1,3,5,5,1,1,5,5,1,5,1,5,1,5,1,5,1,5
crm2tfac_a90language,5,1,3,5,5,5,5,1,2,5,5,1,3,5,5,1,1,5,5,5,5,1,5,1,5,1,5,1,5
crm2tfac_a90wrongDT,5,1,3,1,5,5,5,1,2,5,5,1,3,5,5,1,1,5,5,1,5,1,5,1,5,1,5,1,5
crm2tfac_d20descriptions,5,1,3,5,5,5,4,1,2,5,5,1,3,4,5,1,1,5,5,1,5,1,5,1,5,1,5,1,5
crm2tfac_d20labels,5,1,3,5,5,5,5,1,2,5,5,1,3,5,5,1,1,5,5,1,4,1,5,1,5,1,5,1,5
crm2tfac_d50descriptions,5,1,3,5,5,5,3,1,2,5,5,1,3,3,5,1,1,5,5,1,5,1,5,1,5,1,5,1,5
crm2tfac_d50labels,5,1,3,5,5,5,5,1,2,5,5,1,3,5,3,1,1,5,5,1,3,1,5,1,5,1,5,1,5
crm2tfac_d90descriptions,4,1,3,5,5,5,1,1,2,5,5,1,3,1,5,1,1,5,5,1,5,1,5,1,5,1,5,1,5
crm2tfac_d90labels,4,1,3,5,5,5,5,1,2,5,5,1,3,5,1,1,1,5,5,1,1,1,5,1,5,1,5,1,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
