graph,Structural,Functional adequacy,Compatibility,Transferability,Operability,Reliability,Maintainability
crm2phengraph_a20language,3.7682539682539686,2.1916666666666664,3.0,1.0,1.0,2.0,1.6666666666666667
crm2phengraph_a20wrongDT,3.6888888888888887,2.1916666666666664,3.0,1.0,1.0,2.0,1.6666666666666667
crm2phengraph_a50language,3.7682539682539686,2.1916666666666664,3.0,2.0,1.0,2.0,1.6666666666666667
crm2phengraph_a50wrongDT,3.6095238095238096,2.1916666666666664,3.0,1.0,1.0,2.0,1.6666666666666667
crm2phengraph_a90language,3.7682539682539686,2.1916666666666664,3.0,3.0,1.0,2.0,1.6666666666666667
crm2phengraph_a90wrongDT,3.450793650793651,2.1916666666666664,3.0,1.0,1.0,2.0,1.6666666666666667
crm2phengraph_d20descriptions,3.7682539682539686,2.1166666666666663,3.0,1.0,1.0,2.0,1.6666666666666667
crm2phengraph_d20labels,3.7682539682539686,2.1416666666666666,3.0,1.0,1.0,2.0,1.6666666666666667
crm2phengraph_d50descriptions,3.7682539682539686,2.0666666666666664,3.0,1.0,1.0,2.0,1.6666666666666667
crm2phengraph_d50labels,3.7682539682539686,2.0666666666666664,3.0,1.0,1.0,2.0,1.6666666666666667
crm2phengraph_d90descriptions,3.7682539682539686,1.9666666666666663,3.0,1.0,1.0,2.0,1.6666666666666667
crm2phengraph_d90labels,3.7682539682539686,1.9666666666666663,3.0,1.0,1.0,2.0,1.6666666666666667
