graph,Annotation richness metric,Basic provenance metric,Classes per instance metric,Compatible datatype metric,Deprecated terms metric,Dereferenceable uris metric,Descriptions per instance metric,Entities with no type metric,Evidence metric,Extensional conciseness metric,Human readable license metric,Instances with multiple types metric,Instances with no description metric,Instances with no name metric,Instances with no synonyms metric,Machine license metric,Misplaced class property metric,Misused properties metric,Multiple languages metric,Names per instance metric,Relations per node metric,Reuse terms metric,Different serialisation formats metric,Synonyms per instance metric,Traceability of the data metric,Usage of undefined terms metric,Used vocabularies metric,Valid format metric
crm2phengraph_a20language,2,1,3,5,5,5,5,3,1,5,1,3,5,5,1,1,5,5,1,5,2,5,1,1,1,5,1,5
crm2phengraph_a20wrongDT,2,1,3,4,5,5,5,3,1,5,1,3,5,5,1,1,5,5,1,5,2,5,1,1,1,5,1,5
crm2phengraph_a50language,2,1,3,5,5,5,5,3,1,5,1,3,5,5,1,1,5,5,3,5,2,5,1,1,1,5,1,5
crm2phengraph_a50wrongDT,2,1,3,3,5,5,5,3,1,5,1,3,5,5,1,1,5,5,1,5,2,5,1,1,1,5,1,5
crm2phengraph_a90language,2,1,3,5,5,5,5,3,1,5,1,3,5,5,1,1,5,5,5,5,2,5,1,1,1,5,1,5
crm2phengraph_a90wrongDT,2,1,3,1,5,5,5,3,1,5,1,3,5,5,1,1,5,5,1,5,2,5,1,1,1,5,1,5
crm2phengraph_d20descriptions,1,1,3,5,5,5,4,3,1,5,1,3,4,5,1,1,5,5,1,5,2,5,1,1,1,5,1,5
crm2phengraph_d20labels,1,1,3,5,5,5,5,3,1,5,1,3,5,5,1,1,5,5,1,4,2,5,1,1,1,5,1,5
crm2phengraph_d50descriptions,1,1,3,5,5,5,3,3,1,5,1,3,3,5,1,1,5,5,1,5,2,5,1,1,1,5,1,5
crm2phengraph_d50labels,1,1,3,5,5,5,5,3,1,5,1,3,5,3,1,1,5,5,1,3,2,5,1,1,1,5,1,5
crm2phengraph_d90descriptions,1,1,3,5,5,5,1,3,1,5,1,3,1,5,1,1,5,5,1,5,2,5,1,1,1,5,1,5
crm2phengraph_d90labels,1,1,3,5,5,5,5,3,1,5,1,3,5,1,1,1,5,5,1,1,2,5,1,1,1,5,1,5
