graph,Annotation richness metric,Basic provenance metric,Classes per instance metric,Compatible datatype metric,Deprecated terms metric,Dereferenceable uris metric,Descriptions per instance metric,Different serialisation formats metric,Entities with no type metric,Evidence metric,Extensional conciseness metric,Human readable license metric,Instances with multiple types metric,Instances with no description metric,Instances with no name metric,Instances with no synonyms metric,Machine license metric,Misplaced class property metric,Misused properties metric,Multiple languages metric,Names per instance metric,Relations per node metric,Reuse terms metric,Synonyms per instance metric,Traceability of the data metric,Usage of undefined terms metric,Used vocabularies metric,Valid format metric
crm2genegraph_a20language,2.6345905172413793,0.0,1.0,1.0,0.0,0.8883459565111166,0.999353448275862,set(),0.6455621736892418,0.9875,0.0,False,0.0,0.000646551724137931,0.0,1.0,False,0.0,0.0,0.203125,1.0,4.015006368015948,0.9993299084208175,0.0,0.0,0.00019224607497596923,0.0,True
crm2genegraph_a20wrongDT,2.6345905172413793,0.0,1.0,0.803276921418562,0.0,0.9090153921329098,0.999353448275862,set(),0.6455621736892418,0.9875,0.0,False,0.0,0.000646551724137931,0.0,1.0,False,0.0,0.0,0.0,1.0,4.015006368015948,0.9993299084208175,0.0,0.0,0.00019224607497596923,0.0,True
crm2genegraph_a50language,2.6345905172413793,0.0,1.0,1.0,0.0,0.888297092597117,0.999353448275862,set(),0.6455621736892418,0.9875,0.0,False,0.0,0.000646551724137931,0.0,1.0,False,0.0,0.0,0.4998922413793103,1.0,4.015006368015948,0.9993299084208175,0.0,0.0,0.00019224607497596923,0.0,True
crm2genegraph_a50wrongDT,2.6345905172413793,0.0,1.0,0.5021558693543171,0.0,0.8883948204251161,0.999353448275862,set(),0.6455621736892418,0.9875,0.0,False,0.0,0.000646551724137931,0.0,1.0,False,0.0,0.0,0.0,1.0,4.015006368015948,0.9993299084208175,0.0,0.0,0.00019224607497596923,0.0,True
crm2genegraph_a90language,2.6345905172413793,0.0,1.0,1.0,0.0,0.8883948204251161,0.999353448275862,set(),0.6455621736892418,0.9875,0.0,False,0.0,0.000646551724137931,0.0,1.0,False,0.0,0.0,0.9005387931034483,1.0,4.015006368015948,0.9993299084208175,0.0,0.0,0.00019224607497596923,0.0,True
crm2genegraph_a90wrongDT,2.6345905172413793,0.0,1.0,0.0947504581222378,0.0,0.888297092597117,0.999353448275862,set(),0.6455621736892418,0.9875,0.0,False,0.0,0.000646551724137931,0.0,1.0,False,0.0,0.0,0.0,1.0,4.015006368015948,0.9993299084208175,0.0,0.0,0.00019224607497596923,0.0,True
crm2genegraph_d20descriptions,2.4348060344827585,0.0,1.0,1.0,0.0,0.8883459565111166,0.7995689655172413,set(),0.6455621736892418,0.9875,0.0,False,0.0,0.20043103448275862,0.0,1.0,False,0.0,0.0,0.0,1.0,3.912342876128246,0.9993299084208175,0.0,0.0,0.00019692533903979204,0.0,True
crm2genegraph_d20labels,2.434590517241379,0.0,1.0,1.0,0.0,0.8883459565111166,0.999353448275862,set(),0.6455621736892418,0.9875,0.0,False,0.0,0.000646551724137931,0.2,1.0,False,0.0,0.0,0.0,0.8,3.9122321280248076,0.9993299084208175,0.0,0.0,0.00019693050978744633,0.0,True
crm2genegraph_d50descriptions,2.1349137931034483,0.0,1.0,1.0,0.0,0.8883948204251161,0.499676724137931,set(),0.6455621736892418,0.9875,0.0,False,0.0,0.5003232758620689,0.0,1.0,False,0.0,0.0,0.0,1.0,3.7582368901932552,0.9993299084208175,0.0,0.0,0.00020439308878835778,0.0,True
crm2genegraph_d50labels,2.1345905172413793,0.0,1.0,1.0,0.0,0.8883948204251161,0.999353448275862,set(),0.6455621736892418,0.9875,0.0,False,0.0,0.000646551724137931,0.5,1.0,False,0.0,0.0,0.0,0.5,3.758070768038097,0.9993299084208175,0.0,0.0,0.00020440144443687402,0.0,True
crm2genegraph_d90descriptions,1.7352370689655172,0.0,1.0,1.0,0.0,0.8883948204251161,0.1,set(),0.6455621736892418,0.9875,0.0,False,0.0,0.9,0.0,1.0,False,0.0,0.0,0.0,1.0,3.5528545323661334,0.9993299084208175,0.0,0.0,0.00021527289427230586,0.0,True
crm2genegraph_d90labels,1.7345905172413794,0.0,1.0,1.0,0.0,0.8883948204251161,0.999353448275862,set(),0.6455621736892418,0.9875,0.0,False,0.0,0.000646551724137931,0.9,1.0,False,0.0,0.0,0.0,0.1,3.552522288055817,0.9993299084208175,0.0,0.0,0.00021529143283624934,0.0,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
