graph,Annotation richness metric,Basic provenance metric,Classes per instance metric,Compatible datatype metric,Deprecated terms metric,Dereferenceable uris metric,Descriptions per instance metric,Different serialisation formats metric,Entities with no type metric,Evidence metric,Extensional conciseness metric,Human readable license metric,Instances with multiple types metric,Instances with no description metric,Instances with no name metric,Instances with no synonyms metric,Machine license metric,Misplaced class property metric,Misused properties metric,Multiple languages metric,Names per instance metric,Relations per node metric,Reuse terms metric,Different serialisation formats metric,Synonyms per instance metric,Traceability of the data metric,Usage of undefined terms metric,Used vocabularies metric,Valid format metric
crmgraph_a20language,4.015024719332578,0.0,1.0,1.0,0.0,0.9543661439799453,0.9997746935832732,set(),0.02390592104443586,2.518127510557215,0.0,False,0.0,0.00022530641672674837,0.0,0.9999871253476156,False,0.0,0.0,0.20104154596835452,1.0,7.899073526512911,0.9999220870287888,set(),1.2874652384385621e-05,0.0,1.20830975944685e-05,0.0,True
crmgraph_a20wrongDT,4.015024719332578,0.0,1.0,0.7997116015797346,0.0,0.9872254392328396,0.9997746935832732,set(),0.02390592104443586,2.518127510557215,0.0,False,0.0,0.00022530641672674837,0.0,0.9999871253476156,False,0.0,0.0,0.0,1.0,7.899073526512911,0.9999220870287888,set(),1.2874652384385621e-05,0.0,1.20830975944685e-05,0.0,True
crmgraph_a50language,4.015024719332578,0.0,1.0,1.0,0.0,0.9466052549117242,0.9997746935832732,set(),0.02390592104443586,2.518127510557215,0.0,False,0.0,0.00022530641672674837,0.0,0.9999871253476156,False,0.0,0.0,0.5000708096764641,1.0,7.899073526512911,0.9999220870287888,set(),1.2874652384385621e-05,0.0,1.20830975944685e-05,0.0,True
crmgraph_a50wrongDT,4.015024719332578,0.0,1.0,0.4991251197176278,0.0,0.9544004841970614,0.9997746935832732,set(),0.02390592104443586,2.518127510557215,0.0,False,0.0,0.00022530641672674837,0.0,0.9999871253476156,False,0.0,0.0,0.0,1.0,7.899073526512911,0.9999220870287888,set(),1.2874652384385621e-05,0.0,1.20830975944685e-05,0.0,True
crmgraph_a90language,4.015024719332578,0.0,1.0,1.0,0.0,0.946347703283354,0.9997746935832732,set(),0.02390592104443586,2.518127510557215,0.0,False,0.0,0.00022530641672674837,0.0,0.9999871253476156,False,0.0,0.0,0.9012398130624542,1.0,7.899073526512911,0.9999220870287888,set(),1.2874652384385621e-05,0.0,1.20830975944685e-05,0.0,True
crmgraph_a90wrongDT,4.015024719332578,0.0,1.0,0.09984396354127434,0.0,0.9853925301442719,0.9997746935832732,set(),0.02390592104443586,2.518127510557215,0.0,False,0.0,0.00022530641672674837,0.0,0.9999871253476156,False,0.0,0.0,0.0,1.0,7.899073526512911,0.9999220870287888,set(),1.2874652384385621e-05,0.0,1.20830975944685e-05,0.0,True
crmgraph_d20descriptions,3.815074930476877,0.0,1.0,1.0,0.0,0.9463176555933774,0.7998249047275724,set(),0.02390592104443586,2.518127510557215,0.0,False,0.0,0.20017509527242763,0.0,0.9999871253476156,False,0.0,0.0,0.0,1.0,7.701563622721174,0.9999220870287888,set(),1.2874652384385621e-05,0.0,1.235588136318805e-05,0.0,True
crmgraph_d20labels,3.815029869193532,0.0,1.0,1.0,0.0,0.946347703283354,0.9997746935832732,set(),0.02390592104443586,2.518127510557215,0.0,False,0.0,0.00022530641672674837,0.19999485013904625,0.9999871253476156,False,0.0,0.0,0.0,0.8000051498609537,7.701519111297635,0.9999220870287888,set(),1.2874652384385621e-05,0.0,1.2355944226721401e-05,0.0,True
crmgraph_d50descriptions,3.5151405912040374,0.0,1.0,1.0,0.0,0.9466653502916772,0.4998905654547327,set(),0.02390592104443586,2.518127510557215,0.0,False,0.0,0.5001094345452672,0.0,0.9999871253476156,False,0.0,0.0,0.0,1.0,7.405289228871381,0.9999220870287888,set(),1.2874652384385621e-05,0.0,1.2788974399482423e-05,0.0,True
crmgraph_d50labels,3.515024719332578,0.0,1.0,1.0,0.0,0.9468241737958388,0.9997746935832732,set(),0.02390592104443586,2.518127510557215,0.0,False,0.0,0.00022530641672674837,0.5,0.9999871253476156,False,0.0,0.0,0.0,0.5,7.4051747709251385,0.9999220870287888,set(),1.2874652384385621e-05,0.0,1.278914758074466e-05,0.0,True
crmgraph_d90descriptions,3.1152281388402514,0.0,1.0,1.0,0.0,0.9542159055300627,0.09997811309094655,set(),0.02390592104443586,2.518127510557215,0.0,False,0.0,0.9000218869090535,0.0,0.9999871253476156,False,0.0,0.0,0.0,1.0,7.010256703738324,0.9999220870287888,set(),1.2874652384385621e-05,0.0,1.3415975743915856e-05,0.0,True
crmgraph_d90labels,3.1150285817282932,0.0,1.0,1.0,0.0,0.9540012791730875,0.9997746935832732,set(),0.02390592104443586,2.518127510557215,0.0,False,0.0,0.00022530641672674837,0.8999961376042847,0.9999871253476156,False,0.0,0.0,0.0,0.10000386239571532,7.010059581719794,0.9999220870287888,set(),1.2874652384385621e-05,0.0,1.341630396609621e-05,0.0,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
