dis,dis_label,associations_count,phenotypes_count
http://purl.obolibrary.org/obo/MONDO_0000001,disease,112056,4820136
http://purl.obolibrary.org/obo/MONDO_0000004,adrenocortical insufficiency,252,12533
http://purl.obolibrary.org/obo/MONDO_0000005,"alopecia, isolated",14,523
http://purl.obolibrary.org/obo/MONDO_0000009,"inherited bleeding disorder, platelet-type",266,6019
http://purl.obolibrary.org/obo/MONDO_0000014,"colorblindness, partial",,17
http://purl.obolibrary.org/obo/MONDO_0000015,classic complement early component deficiency,14,1039
http://purl.obolibrary.org/obo/MONDO_0000022,nocturnal enuresis,,32
http://purl.obolibrary.org/obo/MONDO_0000023,infantile liver failure,56,1357
http://purl.obolibrary.org/obo/MONDO_0000030,familial sleep-related hypermotor epilepsy,98,764
http://purl.obolibrary.org/obo/MONDO_0000032,"febrile seizures, familial",,622
http://purl.obolibrary.org/obo/MONDO_0000044,hereditary hypophosphatemic rickets,84,4312
http://purl.obolibrary.org/obo/MONDO_0000045,"hypothyroidism, congenital, nongoitrous",42,3364
http://purl.obolibrary.org/obo/MONDO_0000050,isolated congenital growth hormone deficiency,126,1532
http://purl.obolibrary.org/obo/MONDO_0000060,microcephalic osteodysplastic primordial dwarfism,14,3593
http://purl.obolibrary.org/obo/MONDO_0000062,isolated microphthalmia,210,2622
http://purl.obolibrary.org/obo/MONDO_0000066,mitochondrial respiratory chain complex deficiency,798,32960
http://purl.obolibrary.org/obo/MONDO_0000078,acrocephalopolysyndactyly,84,5739
http://purl.obolibrary.org/obo/MONDO_0000079,"nephrolithiasis/osteoporosis, hypophosphatemic",,268
http://purl.obolibrary.org/obo/MONDO_0000087,polymicrogyria,98,7046
http://purl.obolibrary.org/obo/MONDO_0000088,precocious puberty,112,356
http://purl.obolibrary.org/obo/MONDO_0000090,progressive external ophthalmoplegia with mitochondrial DNA deletions,98,8474
http://purl.obolibrary.org/obo/MONDO_0000104,"anemia, hypochromic microcytic with iron overload",28,805
http://purl.obolibrary.org/obo/MONDO_0000105,"anemia, nonspherocytic hemolytic",14,375
http://purl.obolibrary.org/obo/MONDO_0000107,auriculocondylar syndrome,42,2568
http://purl.obolibrary.org/obo/MONDO_0000110,bifid nose,14,494
http://purl.obolibrary.org/obo/MONDO_0000111,"camptodactyly syndrome, Guadalajara",,1847
http://purl.obolibrary.org/obo/MONDO_0000114,cerebelloparenchymal disorder,14,944
http://purl.obolibrary.org/obo/MONDO_0000115,Chiari malformation,14,1469
http://purl.obolibrary.org/obo/MONDO_0000118,reticulate pigment disorder,84,764
http://purl.obolibrary.org/obo/MONDO_0000119,"congenital heart defects, multiple types",,2159
http://purl.obolibrary.org/obo/MONDO_0000127,geleophysic dysplasia,42,2593
http://purl.obolibrary.org/obo/MONDO_0000128,giant axonal neuropathy,28,1198
http://purl.obolibrary.org/obo/MONDO_0000129,glutaric aciduria,154,3455
http://purl.obolibrary.org/obo/MONDO_0000133,immunodeficiency-centromeric instability-facial anomalies syndrome,70,1856
http://purl.obolibrary.org/obo/MONDO_0000136,keratosis follicularis spinulosa decalvans,42,940
http://purl.obolibrary.org/obo/MONDO_0000137,"leukoencephalopathy, megalencephalic",28,1765
http://purl.obolibrary.org/obo/MONDO_0000141,mosaic variegated aneuploidy syndrome,70,5427
http://purl.obolibrary.org/obo/MONDO_0000147,polyposis,14,116
http://purl.obolibrary.org/obo/MONDO_0000148,"pulmonary fibrosis and/or bone marrow failure, telomere-related",,1921
http://purl.obolibrary.org/obo/MONDO_0000151,symphalangism,70,3064
http://purl.obolibrary.org/obo/MONDO_0000152,thiamine-responsive dysfunction syndrome,84,3096
http://purl.obolibrary.org/obo/MONDO_0000153,transposition of the great arteries,84,1863
http://purl.obolibrary.org/obo/MONDO_0000155,triglyceride storage disease,,48
http://purl.obolibrary.org/obo/MONDO_0000156,trigonocephaly,28,751
http://purl.obolibrary.org/obo/MONDO_0000158,developmental dysplasia of the hip,,209
http://purl.obolibrary.org/obo/MONDO_0000159,bone marrow failure syndrome,28,2938
http://purl.obolibrary.org/obo/MONDO_0000160,"epilepsy, familial adult myoclonic",112,1069
http://purl.obolibrary.org/obo/MONDO_0000166,"encephalopathy, acute, infection-induced",14,586
http://purl.obolibrary.org/obo/MONDO_0000167,Huntington disease and related disorders,196,13395
http://purl.obolibrary.org/obo/MONDO_0000170,"microphthalmia, isolated, with coloboma",196,1637
http://purl.obolibrary.org/obo/MONDO_0000171,"muscular dystrophy-dystroglycanopathy, type A",210,9147
http://purl.obolibrary.org/obo/MONDO_0000172,"muscular dystrophy-dystroglycanopathy, type B",,3386
http://purl.obolibrary.org/obo/MONDO_0000173,"muscular dystrophy-dystroglycanopathy, type C",112,4038
http://purl.obolibrary.org/obo/MONDO_0000179,Neu-Laxova syndrome,42,2651
http://purl.obolibrary.org/obo/MONDO_0000181,microcephaly and chorioretinopathy,42,1414
http://purl.obolibrary.org/obo/MONDO_0000182,congenital myasthenic syndrome with tubular aggregates,,912
http://purl.obolibrary.org/obo/MONDO_0000188,GLUT1 deficiency syndrome,42,1793
http://purl.obolibrary.org/obo/MONDO_0000190,ventricular fibrillation,28,103
http://purl.obolibrary.org/obo/MONDO_0000192,polyglucosan body myopathy,28,981
http://purl.obolibrary.org/obo/MONDO_0000193,cortisone reductase deficiency,28,459
http://purl.obolibrary.org/obo/MONDO_0000200,Zimmermann-Laband syndrome,42,2818
http://purl.obolibrary.org/obo/MONDO_0000208,"microcephaly, short stature, and impaired glucose metabolism 1",,439
http://purl.obolibrary.org/obo/MONDO_0000209,prenatal-onset spinal muscular atrophy with congenital bone fractures,28,1072
http://purl.obolibrary.org/obo/MONDO_0000210,thiopurine metabolic disease,,32
http://purl.obolibrary.org/obo/MONDO_0000211,"striatal degeneration, autosomal dominant",14,446
http://purl.obolibrary.org/obo/MONDO_0000212,"hypercalcemia, infantile",28,433
http://purl.obolibrary.org/obo/MONDO_0000213,"autoimmune disease, multisystem, infantile-onset",14,1387
http://purl.obolibrary.org/obo/MONDO_0000214,hypermanganesemia with dystonia,28,2341
http://purl.obolibrary.org/obo/MONDO_0000226,mineral metabolism disease,1176,67742
http://purl.obolibrary.org/obo/MONDO_0000240,invasive aspergillosis,,14
http://purl.obolibrary.org/obo/MONDO_0000249,secretory diarrhea,56,1743
http://purl.obolibrary.org/obo/MONDO_0000250,osmotic diarrheal disease,,14
http://purl.obolibrary.org/obo/MONDO_0000251,diarrheal disease secondary to altered bowel motility,,14
http://purl.obolibrary.org/obo/MONDO_0000252,inflammatory diarrhea,,824
http://purl.obolibrary.org/obo/MONDO_0000254,cutaneous mycosis,,771
http://purl.obolibrary.org/obo/MONDO_0000255,subcutaneous mycosis,,561
http://purl.obolibrary.org/obo/MONDO_0000256,systemic mycosis,,1292
http://purl.obolibrary.org/obo/MONDO_0000257,acute diarrhea,,824
http://purl.obolibrary.org/obo/MONDO_0000263,laryngotracheitis,,28
http://purl.obolibrary.org/obo/MONDO_0000266,pulmonary aspergilloma,,14
http://purl.obolibrary.org/obo/MONDO_0000270,lower respiratory tract disorder,756,28098
http://purl.obolibrary.org/obo/MONDO_0000308,primary systemic mycosis,,1292
