count,dis,dis_label
4820136,http://purl.obolibrary.org/obo/MONDO_0000001,disease
28,http://purl.obolibrary.org/obo/MONDO_0005583,non-human animal disease
4820108,http://purl.obolibrary.org/obo/MONDO_0700096,human disease
14,http://purl.obolibrary.org/obo/MONDO_0024985,sheep disease
14,http://purl.obolibrary.org/obo/MONDO_0025013,non-human primate disease
14,http://purl.obolibrary.org/obo/MONDO_7770012,"disease by body system or component, non-human animal"
14,http://purl.obolibrary.org/obo/MONDO_7770014,"disease by etiologic mechanism, non-human animal"
26163,http://purl.obolibrary.org/obo/MONDO_0020683,acute disease
3867561,http://purl.obolibrary.org/obo/MONDO_7770006,disease by body system or component
2436647,http://purl.obolibrary.org/obo/MONDO_7770007,disease by developmental or physiological process
4399768,http://purl.obolibrary.org/obo/MONDO_7770008,disease by etiologic mechanism
14,http://purl.obolibrary.org/obo/MONDO_0005829,louping ill
14,http://purl.obolibrary.org/obo/MONDO_0025102,monkey disease
14,http://purl.obolibrary.org/obo/MONDO_0700106,"immune system disorder, non-human animal"
14,http://purl.obolibrary.org/obo/MONDO_7770016,"disease of primarily extrinsic mechanism, non-human animal"
586,http://purl.obolibrary.org/obo/MONDO_0000166,"encephalopathy, acute, infection-induced"
824,http://purl.obolibrary.org/obo/MONDO_0000257,acute diarrhea
1232,http://purl.obolibrary.org/obo/MONDO_0017373,poliomyelitis
1132,http://purl.obolibrary.org/obo/MONDO_0001208,acute respiratory failure
14,http://purl.obolibrary.org/obo/MONDO_0001214,acute conjunctivitis
14,http://purl.obolibrary.org/obo/MONDO_0001650,acute cystitis
9514,http://purl.obolibrary.org/obo/MONDO_0019956,encephalitis
1715,http://purl.obolibrary.org/obo/MONDO_0010643,acute leukemia
28,http://purl.obolibrary.org/obo/MONDO_0004777,acute laryngitis
300,http://purl.obolibrary.org/obo/MONDO_0005091,severe acute respiratory syndrome
14,http://purl.obolibrary.org/obo/MONDO_0005542,acute coronary syndrome
42,http://purl.obolibrary.org/obo/MONDO_0005632,acute chest syndrome
762,http://purl.obolibrary.org/obo/MONDO_0019801,acute adrenal insufficiency
288,http://purl.obolibrary.org/obo/MONDO_0008069,"necrotizing encephalomyelopathy, subacute, of Leigh, adult"
1234,http://purl.obolibrary.org/obo/MONDO_0008294,acute intermittent porphyria
64,http://purl.obolibrary.org/obo/MONDO_0009521,"leukemia, acute myelocytic, with polyposis coli and colon cancer"
460,http://purl.obolibrary.org/obo/MONDO_0009929,"surfactant metabolism dysfunction, pulmonary, 1"
208,http://purl.obolibrary.org/obo/MONDO_0009992,"myoglobinuria, acute recurrent, autosomal recessive"
32,http://purl.obolibrary.org/obo/MONDO_0012454,"alcohol sensitivity, acute"
16,http://purl.obolibrary.org/obo/MONDO_0013108,"leukemia, acute lymphocytic, susceptibility to, 1"
1314,http://purl.obolibrary.org/obo/MONDO_0019542,acute liver failure
894,http://purl.obolibrary.org/obo/MONDO_0014744,acute infantile liver failure-cerebellar ataxia-peripheral sensory motor neuropathy syndrome
901,http://purl.obolibrary.org/obo/MONDO_0015342,acute transverse myelitis
323,http://purl.obolibrary.org/obo/MONDO_0015573,subacute cutaneous lupus erythematosus
357,http://purl.obolibrary.org/obo/MONDO_0015796,acute lung injury
680,http://purl.obolibrary.org/obo/MONDO_0016102,subacute inflammatory demyelinating polyneuropathy
14,http://purl.obolibrary.org/obo/MONDO_0016600,acute neonatal citrullinemia type I
408,http://purl.obolibrary.org/obo/MONDO_0017298,acute zonal occult outer retinopathy
391,http://purl.obolibrary.org/obo/MONDO_0017384,acute generalized exanthematous pustulosis
