count,dis,dis_label
252011,http://purl.obolibrary.org/obo/MONDO_0000001,disease
3,http://purl.obolibrary.org/obo/MONDO_0005583,non-human animal disease
252008,http://purl.obolibrary.org/obo/MONDO_0700096,human disease
1,http://purl.obolibrary.org/obo/MONDO_0024985,sheep disease
1,http://purl.obolibrary.org/obo/MONDO_0025013,non-human primate disease
1,http://purl.obolibrary.org/obo/MONDO_7770012,"disease by body system or component, non-human animal"
2,http://purl.obolibrary.org/obo/MONDO_7770014,"disease by etiologic mechanism, non-human animal"
1612,http://purl.obolibrary.org/obo/MONDO_0020683,acute disease
203223,http://purl.obolibrary.org/obo/MONDO_7770006,disease by body system or component
125543,http://purl.obolibrary.org/obo/MONDO_7770007,disease by developmental or physiological process
227666,http://purl.obolibrary.org/obo/MONDO_7770008,disease by etiologic mechanism
1,http://purl.obolibrary.org/obo/MONDO_0005829,louping ill
1,http://purl.obolibrary.org/obo/MONDO_0025102,monkey disease
1,http://purl.obolibrary.org/obo/MONDO_0700106,"immune system disorder, non-human animal"
2,http://purl.obolibrary.org/obo/MONDO_7770016,"disease of primarily extrinsic mechanism, non-human animal"
29,http://purl.obolibrary.org/obo/MONDO_0000166,"encephalopathy, acute, infection-induced"
48,http://purl.obolibrary.org/obo/MONDO_0000257,acute diarrhea
72,http://purl.obolibrary.org/obo/MONDO_0017373,poliomyelitis
72,http://purl.obolibrary.org/obo/MONDO_0001208,acute respiratory failure
1,http://purl.obolibrary.org/obo/MONDO_0001214,acute conjunctivitis
1,http://purl.obolibrary.org/obo/MONDO_0001650,acute cystitis
562,http://purl.obolibrary.org/obo/MONDO_0019956,encephalitis
203,http://purl.obolibrary.org/obo/MONDO_0010643,acute leukemia
2,http://purl.obolibrary.org/obo/MONDO_0004777,acute laryngitis
16,http://purl.obolibrary.org/obo/MONDO_0005091,severe acute respiratory syndrome
1,http://purl.obolibrary.org/obo/MONDO_0005542,acute coronary syndrome
3,http://purl.obolibrary.org/obo/MONDO_0005632,acute chest syndrome
45,http://purl.obolibrary.org/obo/MONDO_0019801,acute adrenal insufficiency
18,http://purl.obolibrary.org/obo/MONDO_0008069,"necrotizing encephalomyelopathy, subacute, of Leigh, adult"
61,http://purl.obolibrary.org/obo/MONDO_0008294,acute intermittent porphyria
4,http://purl.obolibrary.org/obo/MONDO_0009521,"leukemia, acute myelocytic, with polyposis coli and colon cancer"
24,http://purl.obolibrary.org/obo/MONDO_0009929,"surfactant metabolism dysfunction, pulmonary, 1"
11,http://purl.obolibrary.org/obo/MONDO_0009992,"myoglobinuria, acute recurrent, autosomal recessive"
2,http://purl.obolibrary.org/obo/MONDO_0012454,"alcohol sensitivity, acute"
1,http://purl.obolibrary.org/obo/MONDO_0013108,"leukemia, acute lymphocytic, susceptibility to, 1"
74,http://purl.obolibrary.org/obo/MONDO_0019542,acute liver failure
38,http://purl.obolibrary.org/obo/MONDO_0014744,acute infantile liver failure-cerebellar ataxia-peripheral sensory motor neuropathy syndrome
53,http://purl.obolibrary.org/obo/MONDO_0015342,acute transverse myelitis
19,http://purl.obolibrary.org/obo/MONDO_0015573,subacute cutaneous lupus erythematosus
21,http://purl.obolibrary.org/obo/MONDO_0015796,acute lung injury
40,http://purl.obolibrary.org/obo/MONDO_0016102,subacute inflammatory demyelinating polyneuropathy
2,http://purl.obolibrary.org/obo/MONDO_0016600,acute neonatal citrullinemia type I
24,http://purl.obolibrary.org/obo/MONDO_0017298,acute zonal occult outer retinopathy
23,http://purl.obolibrary.org/obo/MONDO_0017384,acute generalized exanthematous pustulosis
12,http://purl.obolibrary.org/obo/MONDO_0018198,acute encephalopathy with biphasic seizures and late reduced diffusion
10,http://purl.obolibrary.org/obo/MONDO_0019074,bilateral acute depigmentation of the iris
11,http://purl.obolibrary.org/obo/MONDO_0019122,idiopathic acute eosinophilic pneumonia
33,http://purl.obolibrary.org/obo/MONDO_0019203,acute interstitial pneumonia
14,http://purl.obolibrary.org/obo/MONDO_0020347,acute inflammatory demyelinating polyradiculoneuropathy
15,http://purl.obolibrary.org/obo/MONDO_0032716,"leukoencephalopathy, acute reversible, with increased urinary alpha-ketoglutarate"
25,http://purl.obolibrary.org/obo/MONDO_0033938,acute radiation syndrome
20,http://purl.obolibrary.org/obo/MONDO_0035344,acute bilirubin encephalopathy
7648,http://purl.obolibrary.org/obo/MONDO_0005039,reproductive system disorder
705,http://purl.obolibrary.org/obo/MONDO_0024623,otorhinolaryngologic disease
19209,http://purl.obolibrary.org/obo/MONDO_0002051,integumentary system disorder
77527,http://purl.obolibrary.org/obo/MONDO_0002254,syndromic disease
5276,http://purl.obolibrary.org/obo/MONDO_0005087,respiratory system disorder
6091,http://purl.obolibrary.org/obo/MONDO_0004335,digestive system disorder
13695,http://purl.obolibrary.org/obo/MONDO_0002022,disorder of orbital region
15748,http://purl.obolibrary.org/obo/MONDO_0005151,endocrine system disorder
52980,http://purl.obolibrary.org/obo/MONDO_0002081,musculoskeletal system disorder
10804,http://purl.obolibrary.org/obo/MONDO_0005570,hematologic disorder
15689,http://purl.obolibrary.org/obo/MONDO_0004995,cardiovascular disorder
17333,http://purl.obolibrary.org/obo/MONDO_0005046,immune system disorder
7557,http://purl.obolibrary.org/obo/MONDO_0003900,connective tissue disorder
498,http://purl.obolibrary.org/obo/MONDO_0006858,mouth disorder
131,http://purl.obolibrary.org/obo/MONDO_0002657,breast disorder
674,http://purl.obolibrary.org/obo/MONDO_0002409,auditory system disorder
15496,http://purl.obolibrary.org/obo/MONDO_0024458,disorder of visual system
5633,http://purl.obolibrary.org/obo/MONDO_0002118,urinary system disorder
82737,http://purl.obolibrary.org/obo/MONDO_0005071,nervous system disorder
86568,http://purl.obolibrary.org/obo/MONDO_0021147,disorder of development or morphogenesis
46970,http://purl.obolibrary.org/obo/MONDO_0005066,metabolic disease
5024,http://purl.obolibrary.org/obo/MONDO_0021166,inflammatory disease
4143,http://purl.obolibrary.org/obo/MONDO_0002025,psychiatric disorder
238,http://purl.obolibrary.org/obo/MONDO_0100081,sleep disorder
9601,http://purl.obolibrary.org/obo/MONDO_0044970,mitochondrial disease
7634,http://purl.obolibrary.org/obo/MONDO_7770011,disease by molecular mechanism
1980,http://purl.obolibrary.org/obo/MONDO_0019303,premature aging syndrome
1270,http://purl.obolibrary.org/obo/MONDO_0024322,disorder of glycosylation
229,http://purl.obolibrary.org/obo/MONDO_0700003,obstetric disorder
1501,http://purl.obolibrary.org/obo/MONDO_0700007,idiopathic disease
1219,http://purl.obolibrary.org/obo/MONDO_0005137,nutritional disorder
217797,http://purl.obolibrary.org/obo/MONDO_7770009,disease of genetic or genomic mechanism
10150,http://purl.obolibrary.org/obo/MONDO_0045024,cancer or benign tumor
5384,http://purl.obolibrary.org/obo/MONDO_7770010,disease of primarily extrinsic mechanism
1,http://purl.obolibrary.org/obo/MONDO_0025484,simian acquired immunodeficiency syndrome
2,http://purl.obolibrary.org/obo/MONDO_0700049,"infectious disease, non-human animal"
29,http://purl.obolibrary.org/obo/MONDO_0011953,familial acute necrotizing encephalopathy
48,http://purl.obolibrary.org/obo/MONDO_0001517,dysentery
1,http://purl.obolibrary.org/obo/MONDO_0000341,paralytic poliomyelitis
18,http://purl.obolibrary.org/obo/MONDO_0017416,postpoliomyelitis syndrome
51,http://purl.obolibrary.org/obo/MONDO_0006502,acute respiratory distress syndrome
21,http://purl.obolibrary.org/obo/MONDO_0006932,pulmonary edema
1,http://purl.obolibrary.org/obo/MONDO_0005634,acute hemorrhagic conjunctivitis
462,http://purl.obolibrary.org/obo/MONDO_0020067,infectious encephalitis
47,http://purl.obolibrary.org/obo/MONDO_0015588,limbic encephalitis
50,http://purl.obolibrary.org/obo/MONDO_0020640,autoimmune encephalitis
53,http://purl.obolibrary.org/obo/MONDO_0021081,anti-NMDA receptor encephalitis
48,http://purl.obolibrary.org/obo/MONDO_0004967,acute lymphoblastic leukemia
154,http://purl.obolibrary.org/obo/MONDO_0018874,acute myeloid leukemia
1,http://purl.obolibrary.org/obo/MONDO_0700060,"leukemia, acute, X-linked"
2,http://purl.obolibrary.org/obo/MONDO_0005722,croup
1,http://purl.obolibrary.org/obo/MONDO_0006015,Waterhouse-Friderichsen syndrome
24,http://purl.obolibrary.org/obo/MONDO_0013111,acute infantile liver failure due to synthesis defect of mtDNA-encoded proteins
5024,http://purl.obolibrary.org/obo/MONDO_0002259,gonadal disorder
26,http://purl.obolibrary.org/obo/MONDO_0000193,cortisone reductase deficiency
598,http://purl.obolibrary.org/obo/MONDO_0006054,reproductive system neoplasm
772,http://purl.obolibrary.org/obo/MONDO_0003150,male reproductive system disorder
1541,http://purl.obolibrary.org/obo/MONDO_0002263,female reproductive system disorder
1187,http://purl.obolibrary.org/obo/MONDO_0003381,pituitary gland disorder
1918,http://purl.obolibrary.org/obo/MONDO_0005047,infertility disorder
84,http://purl.obolibrary.org/obo/MONDO_0021681,sexually transmitted disease
3,http://purl.obolibrary.org/obo/MONDO_0005345,hypospadias
1,http://purl.obolibrary.org/obo/MONDO_0006736,dysplasia of cervix
20,http://purl.obolibrary.org/obo/MONDO_0007690,aromatase excess syndrome
41,http://purl.obolibrary.org/obo/MONDO_0007698,hand-foot-genital syndrome
15,http://purl.obolibrary.org/obo/MONDO_0007795,mullerian duct anomalies-limb anomalies syndrome
40,http://purl.obolibrary.org/obo/MONDO_0008305,Currarino triad
12,http://purl.obolibrary.org/obo/MONDO_0008636,double uterus-hemivagina-renal agenesis syndrome
50,http://purl.obolibrary.org/obo/MONDO_0008727,congenital adrenal hyperplasia due to 3-beta-hydroxysteroid dehydrogenase deficiency
67,http://purl.obolibrary.org/obo/MONDO_0008728,classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency
41,http://purl.obolibrary.org/obo/MONDO_0008729,congenital adrenal hyperplasia due to 11-beta-hydroxylase deficiency
47,http://purl.obolibrary.org/obo/MONDO_0008730,congenital adrenal hyperplasia due to 17-alpha-hydroxylase deficiency
23,http://purl.obolibrary.org/obo/MONDO_0010069,spondylocostal dysostosis-anal and genitourinary malformations syndrome
29,http://purl.obolibrary.org/obo/MONDO_1060211,NR5A1-related sex development disorder
108,http://purl.obolibrary.org/obo/MONDO_0013310,congenital adrenal hyperplasia due to cytochrome P450 oxidoreductase deficiency
39,http://purl.obolibrary.org/obo/MONDO_0013722,hypomyelinating leukodystrophy 8 with or without oligodontia and-or hypogonadotropic hypogonadism
33,http://purl.obolibrary.org/obo/MONDO_0014148,estrogen resistance syndrome
56,http://purl.obolibrary.org/obo/MONDO_0014686,"short stature, microcephaly, and endocrine dysfunction"
17,http://purl.obolibrary.org/obo/MONDO_0016012,diethylstilbestrol syndrome
23,http://purl.obolibrary.org/obo/MONDO_0000110,bifid nose
66,http://purl.obolibrary.org/obo/MONDO_0020592,disorder of pharynx
78,http://purl.obolibrary.org/obo/MONDO_0000587,"autoimmune disease of ear, nose and throat"
47,http://purl.obolibrary.org/obo/MONDO_0002436,nasal disorder
51,http://purl.obolibrary.org/obo/MONDO_0021205,disorder of ear
177,http://purl.obolibrary.org/obo/MONDO_0018751,hereditary otorhinolaryngologic disease
14,http://purl.obolibrary.org/obo/MONDO_0015070,laryngeal neuroendocrine neoplasm
5,http://purl.obolibrary.org/obo/MONDO_0007170,atresia of external auditory canal and conductive deafness
1,http://purl.obolibrary.org/obo/MONDO_0015476,cysts and fistulae of the face and oral cavity
11,http://purl.obolibrary.org/obo/MONDO_0010920,microtia
14,http://purl.obolibrary.org/obo/MONDO_0007587,external auditory canal atresia-vertical talus-hypertelorism syndrome
11,http://purl.obolibrary.org/obo/MONDO_0007876,laryngeal abductor paralysis
8,http://purl.obolibrary.org/obo/MONDO_0007879,larynx atresia
6,http://purl.obolibrary.org/obo/MONDO_0008180,congenital velopharyngeal incompetence
36,http://purl.obolibrary.org/obo/MONDO_0011340,congenital tracheal stenosis
12,http://purl.obolibrary.org/obo/MONDO_0015237,arrhinia
13,http://purl.obolibrary.org/obo/MONDO_0015317,laryngotracheal angioma
25,http://purl.obolibrary.org/obo/MONDO_0015387,nasolacrimal duct cyst
9,http://purl.obolibrary.org/obo/MONDO_0015388,polyrrhinia
7,http://purl.obolibrary.org/obo/MONDO_0015389,supernumerary nostril
49,http://purl.obolibrary.org/obo/MONDO_0015390,proboscis lateralis
11,http://purl.obolibrary.org/obo/MONDO_0015743,idiopathic bilateral vestibulopathy
17,http://purl.obolibrary.org/obo/MONDO_0016217,mal de Debarquement
8,http://purl.obolibrary.org/obo/MONDO_0017340,juvenile nasopharyngeal angiofibroma
5,http://purl.obolibrary.org/obo/MONDO_0018058,tracheal agenesis
23,http://purl.obolibrary.org/obo/MONDO_0018955,recurrent respiratory papillomatosis
3,http://purl.obolibrary.org/obo/MONDO_0019108,silent sinus syndrome
45,http://purl.obolibrary.org/obo/MONDO_0019804,congenital tracheomalacia
149,http://purl.obolibrary.org/obo/MONDO_0000179,Neu-Laxova syndrome
829,http://purl.obolibrary.org/obo/MONDO_0002917,disorder of pilosebaceous unit
545,http://purl.obolibrary.org/obo/MONDO_0024481,skin appendage disorder
46,http://purl.obolibrary.org/obo/MONDO_0000254,cutaneous mycosis
655,http://purl.obolibrary.org/obo/MONDO_0000652,integumentary system benign neoplasm
130,http://purl.obolibrary.org/obo/MONDO_0000653,integumentary system cancer
16249,http://purl.obolibrary.org/obo/MONDO_0005093,skin disorder
92,http://purl.obolibrary.org/obo/MONDO_0002884,nail disorder
527,http://purl.obolibrary.org/obo/MONDO_0019296,subcutaneous tissue disorder
1225,http://purl.obolibrary.org/obo/MONDO_0045011,keratinization disease
24,http://purl.obolibrary.org/obo/MONDO_0006591,panniculitis
14,http://purl.obolibrary.org/obo/MONDO_0007085,alopecia-epilepsy-pyorrhea-intellectual disability syndrome
32,http://purl.obolibrary.org/obo/MONDO_0007420,autosomal dominant deafness - onychodystrophy syndrome
19,http://purl.obolibrary.org/obo/MONDO_0007422,keratoderma hereditarium mutilans
4,http://purl.obolibrary.org/obo/MONDO_0008390,Rombo syndrome
46,http://purl.obolibrary.org/obo/MONDO_0010031,Sjogren-Larsson syndrome
50,http://purl.obolibrary.org/obo/MONDO_0010088,mucosulfatidosis
84,http://purl.obolibrary.org/obo/MONDO_0017269,X-linked ichthyosis syndrome
7,http://purl.obolibrary.org/obo/MONDO_0018453,familial atypical multiple mole melanoma syndrome
20,http://purl.obolibrary.org/obo/MONDO_0012089,ichthyosis prematurity syndrome
65,http://purl.obolibrary.org/obo/MONDO_0018891,familial tumoral calcinosis
79,http://purl.obolibrary.org/obo/MONDO_0024308,pseudoxanthoma elasticum (inherited or acquired)
37,http://purl.obolibrary.org/obo/MONDO_0012794,ANE syndrome
63,http://purl.obolibrary.org/obo/MONDO_0013268,frontonasal dysplasia with alopecia and genital anomaly
18,http://purl.obolibrary.org/obo/MONDO_0014574,peeling skin-leukonuchia-acral punctate keratoses-cheilitis-knuckle pads syndrome
25,http://purl.obolibrary.org/obo/MONDO_0014608,mandibulofacial dysostosis with alopecia
1303,http://purl.obolibrary.org/obo/MONDO_0016175,cutis laxa
32,http://purl.obolibrary.org/obo/MONDO_0017571,Proteus-like syndrome
7,http://purl.obolibrary.org/obo/MONDO_0700266,paraneoplastic cutaneous syndrome
810,http://purl.obolibrary.org/obo/MONDO_0018940,congenital myasthenic syndrome
128,http://purl.obolibrary.org/obo/MONDO_0000507,inclusion body myopathy with Paget disease of bone and frontotemporal dementia
8345,http://purl.obolibrary.org/obo/MONDO_0000508,syndromic intellectual disability
61,http://purl.obolibrary.org/obo/MONDO_0000816,abdominal obesity-metabolic syndrome
2,http://purl.obolibrary.org/obo/MONDO_0021670,post-infectious syndrome
280,http://purl.obolibrary.org/obo/MONDO_0007432,cerebral arteriopathy with subcortical infarcts and leukoencephalopathy
109,http://purl.obolibrary.org/obo/MONDO_0001083,Fanconi renotubular syndrome
1,http://purl.obolibrary.org/obo/MONDO_0001332,palindromic rheumatism
44,http://purl.obolibrary.org/obo/MONDO_0001823,sick sinus syndrome
61,http://purl.obolibrary.org/obo/MONDO_0001881,toxic shock syndrome
23,http://purl.obolibrary.org/obo/MONDO_0001956,capillary leak syndrome
454,http://purl.obolibrary.org/obo/MONDO_0019499,Turner syndrome
1,http://purl.obolibrary.org/obo/MONDO_0001979,dumping syndrome
235,http://purl.obolibrary.org/obo/MONDO_0002010,FG syndrome
403,http://purl.obolibrary.org/obo/MONDO_0005377,nephrotic syndrome
277,http://purl.obolibrary.org/obo/MONDO_0002442,long QT syndrome
144,http://purl.obolibrary.org/obo/MONDO_0002457,Treacher-Collins syndrome
154,http://purl.obolibrary.org/obo/MONDO_0003157,disappearing bone disease
344,http://purl.obolibrary.org/obo/MONDO_0016463,syndromic agammaglobulinemia
247,http://purl.obolibrary.org/obo/MONDO_0018912,Cushing syndrome
100,http://purl.obolibrary.org/obo/MONDO_0015691,hypereosinophilic syndrome
277,http://purl.obolibrary.org/obo/MONDO_0100614,syndromic congenital heart disease
101,http://purl.obolibrary.org/obo/MONDO_8000010,antiphospholipid syndrome
1,http://purl.obolibrary.org/obo/MONDO_0005404,myalgic encephalomeyelitis/chronic fatigue syndrome
