Graph,Annotation richness metric,Basic provenance metric,Classes per instance metric,Compatible datatype metric,Deprecated terms metric,Dereferenceable uris metric,Descriptions per instance metric,Different serialisation formats metric,Entities with no type metric,Evidence metric,Extensional conciseness metric,Human readable license metric,Instances with multiple types metric,Instances with no description metric,Instances with no name metric,Instances with no synonyms metric,Machine license metric,Misplaced class property metric,Misused properties metric,Multiple languages metric,Names per instance metric,Relations per node metric,Reuse terms metric,Synonyms per instance metric,Traceability of the data metric,Usage of undefined terms metric,Used vocabularies metric,Valid format metric
complete_d20descriptions,6.831100244498778,0.0,1.1435696821515893,1.0,0.0,0.8990602721970188,0.4572127139364303,set(),0.0,0.0,0.0,False,0.14356968215158925,0.5427872860635696,0.1012876935615322,0.28726976365118173,False,0.0,0.0,0.0,1.1858516707416462,7.502298288508557,0.9056603773584906,5.188035859820701,0.9063080684596577,8.21069612213652e-05,0.0,True
complete_d50descriptions,6.659657701711492,0.0,1.1435696821515893,1.0,0.0,0.8991574854180169,0.28577017114914427,set(),0.0,0.0,0.0,False,0.14356968215158925,0.7142298288508557,0.1012876935615322,0.28726976365118173,False,0.0,0.0,0.0,1.1858516707416462,7.330855745721271,0.9056603773584906,5.188035859820701,0.9063080684596577,8.280807037711769e-05,0.0,True
complete_d90descriptions,6.431067644661777,0.0,1.1435696821515893,1.0,0.0,0.8992546986390149,0.0571801140994295,set(),0.0,0.0,0.0,False,0.14356968215158925,0.9428198859005705,0.1012876935615322,0.28726976365118173,False,0.0,0.0,0.0,1.1858516707416462,7.102265688671556,0.9056603773584906,5.188035859820701,0.9063080684596577,8.376172253518813e-05,0.0,True
complete_d20labels,6.708296658516708,0.0,1.1435696821515893,1.0,0.0,0.8991898898250162,0.5715077424612877,set(),0.0,0.0,0.0,False,0.14356968215158925,0.4284922575387123,0.25313773431132847,0.28726976365118173,False,0.0,0.0,0.0,0.9487530562347188,7.379494702526487,0.9056603773584906,5.188035859820701,0.9063080684596577,8.260794915237766e-05,0.0,True
complete_d50labels,6.352469437652812,0.0,1.1435696821515893,1.0,0.0,0.8985418016850292,0.5715077424612877,set(),0.0,0.0,0.0,False,0.14356968215158925,0.4284922575387123,0.4984841075794621,0.28726976365118173,False,0.0,0.0,0.0,0.5929258353708231,7.023667481662591,0.9056603773584906,5.188035859820701,0.9063080684596577,8.40947203355874e-05,0.0,True
complete_d90labels,5.878174409127954,0.0,1.1435696821515893,1.0,0.0,0.8992222942320156,0.5715077424612877,set(),0.0,0.0,0.0,False,0.14356968215158925,0.4284922575387123,0.886161369193154,0.28726976365118173,False,0.0,0.0,0.0,0.11863080684596577,6.549372453137734,0.9056603773584906,5.188035859820701,0.9063080684596577,8.61617475629741e-05,0.0,True
complete_a20language,6.945395273023635,0.0,1.1435696821515893,1.0,0.0,0.8992546986390149,0.5715077424612877,set(),0.0,0.0,0.0,False,0.14356968215158925,0.4284922575387123,0.1012876935615322,0.28726976365118173,False,0.0,0.0,0.1998782726998399,1.1858516707416462,7.616593317033415,0.9056603773584906,5.188035859820701,0.9063080684596577,8.16461137250319e-05,0.0,True
complete_a50language,6.945395273023635,0.0,1.1435696821515893,1.0,0.0,0.8992546986390149,0.5715077424612877,set(),0.0,0.0,0.0,False,0.14356968215158925,0.4284922575387123,0.1012876935615322,0.28726976365118173,False,0.0,0.0,0.4984477211933367,1.1858516707416462,7.616593317033415,0.9056603773584906,5.188035859820701,0.9063080684596577,8.16461137250319e-05,0.0,True
complete_a90language,6.945395273023635,0.0,1.1435696821515893,1.0,0.0,0.8992546986390149,0.5715077424612877,set(),0.0,0.0,0.0,False,0.14356968215158925,0.4284922575387123,0.1012876935615322,0.28726976365118173,False,0.0,0.0,0.8989765700520154,1.1858516707416462,7.616593317033415,0.9056603773584906,5.188035859820701,0.9063080684596577,8.16461137250319e-05,0.0,True
complete_a20wrongDT,6.945395273023635,0.0,1.1435696821515893,0.8004751386748415,0.0,0.8992546986390149,0.5715077424612877,set(),0.0,0.0,0.0,False,0.14356968215158925,0.4284922575387123,0.1012876935615322,0.28726976365118173,False,0.0,0.0,0.0,1.1858516707416462,7.616593317033415,0.9056603773584906,5.188035859820701,0.9063080684596577,8.16461137250319e-05,0.0,True
complete_a50wrongDT,6.945395273023635,0.0,1.1435696821515893,0.5000222547388684,0.0,0.8992546986390149,0.5715077424612877,set(),0.0,0.0,0.0,False,0.14356968215158925,0.4284922575387123,0.1012876935615322,0.28726976365118173,False,0.0,0.0,0.0,1.1858516707416462,7.616593317033415,0.9056603773584906,5.188035859820701,0.9063080684596577,8.16461137250319e-05,0.0,True
complete_a90wrongDT,6.945395273023635,0.0,1.1435696821515893,0.0999905417359809,0.0,0.8992546986390149,0.5715077424612877,set(),0.0,0.0,0.0,False,0.14356968215158925,0.4284922575387123,0.1012876935615322,0.28726976365118173,False,0.0,0.0,0.0,1.1858516707416462,7.616593317033415,0.9056603773584906,5.188035859820701,0.9063080684596577,8.16461137250319e-05,0.0,True
