Graph,Annotation richness metric,Basic provenance metric,Classes per instance metric,Compatible datatype metric,Deprecated terms metric,Dereferenceable uris metric,Descriptions per instance metric,Different serialisation formats metric,Entities with no type metric,Evidence metric,Extensional conciseness metric,Human readable license metric,Instances with multiple types metric,Instances with no description metric,Instances with no name metric,Instances with no synonyms metric,Machine license metric,Misplaced class property metric,Misused properties metric,Multiple languages metric,Names per instance metric,Relations per node metric,Reuse terms metric,Synonyms per instance metric,Traceability of the data metric,Usage of undefined terms metric,Used vocabularies metric,Valid format metric
gene_pheno_nervous_d20labels,7.64279982166741,0,1.16032099866251,1,0,0.999822079886131,0.674543022737405,set(),0,0,0,False,0.160320998662506,0.325456977262595,0.169950958537673,0.19589835042354,False,0,0,0,1.05653143111904,6.25742309407044,0.923076923076923,5.91172536781097,0.918502006241641,0.000116165380780438,0,True
gene_pheno_nervous_d50labels,7.24654480606331,0,1.16032099866251,1,0,0.999733119829197,0.674543022737405,set(),0,0,0,False,0.160320998662506,0.325456977262595,0.440213999108337,0.19589835042354,False,0,0,0,0.660276415514935,5.86116807846634,0.923076923076923,5.91172536781097,0.918502006241641,0.000118719021755261,0,True
gene_pheno_nervous_d90labels,6.7184128399465,0,1.16032099866251,1,0,0.999822079886131,0.674543022737405,set(),0,0,0,False,0.160320998662506,0.325456977262595,0.872492197949175,0.19589835042354,False,0,0,0,0.132144449398128,5.33303611234953,0.923076923076923,5.91172536781097,0.918502006241641,0.000122302341580248,0,True
gene_pheno_nervous_d20descriptions,7.77182345073562,0,1.16032099866251,1,0,0.999733119829197,0.539634418189924,set(),0,0,0,False,0.160320998662506,0.460365581810076,0.000178332590280874,0.19589835042354,False,0,0,0,1.32046366473473,6.38644672313865,0.923076923076923,5.91172536781097,0.918502006241641,0.000115357439833885,0,True
gene_pheno_nervous_d50descriptions,7.56950512706197,0,1.16032099866251,1,0,0.999466239658393,0.337316094516273,set(),0,0,0,False,0.160320998662506,0.662683905483727,0.000178332590280874,0.19589835042354,False,0,0,0,1.32046366473473,6.184128399465,0.923076923076923,5.91172536781097,0.918502006241641,0.000116629410049567,0,True
gene_pheno_nervous_d90descriptions,7.29968791796701,0,1.16032099866251,1,0,0.999733119829197,0.0674988854213107,set(),0,0,0,False,0.160320998662506,0.932501114578689,0.000178332590280874,0.19589835042354,False,0,0,0,1.32046366473473,5.91431119037004,0.923076923076923,5.91172536781097,0.918502006241641,0.000118370044487408,0,True
gene_pheno_nervous_a20language,7.9067320552831,0,1.16032099866251,1,0,0.999822079886131,0.674543022737405,set(),0,0,0,False,0.160320998662506,0.325456977262595,0.000178332590280874,0.19589835042354,False,0,0,0.198091457174913,1.32046366473473,6.52135532768613,0.923076923076923,5.91172536781097,0.918502006241641,0.000114524579837948,0,True
gene_pheno_nervous_a50language,7.9067320552831,0,1.16032099866251,1,0,0.999822079886131,0.674543022737405,set(),0,0,0,False,0.160320998662506,0.325456977262595,0.000178332590280874,0.19589835042354,False,0,0,0.498748597566238,1.32046366473473,6.52135532768613,0.923076923076923,5.91172536781097,0.918502006241641,0.000114524579837948,0,True
gene_pheno_nervous_a90language,7.9067320552831,0,1.16032099866251,1,0,0.999822079886131,0.674543022737405,set(),0,0,0,False,0.160320998662506,0.325456977262595,0.000178332590280874,0.19589835042354,False,0,0,0.899998767091198,1.32046366473473,6.52135532768613,0.923076923076923,5.91172536781097,0.918502006241641,0.000114524579837948,0,True
gene_pheno_nervous_a20wrongDT,7.9067320552831,0,1.16032099866251,0.801527860994608,0,0.999822079886131,0.674543022737405,set(),0,0,0,False,0.160320998662506,0.325456977262595,0.000178332590280874,0.19589835042354,False,0,0,0,1.32046366473473,6.52135532768613,0.923076923076923,5.91172536781097,0.918502006241641,0.000114524579837948,0,True
gene_pheno_nervous_a50wrongDT,7.9067320552831,0,1.16032099866251,0.498115795780644,0,0.998932479316787,0.674543022737405,set(),0,0,0,False,0.160320998662506,0.325456977262595,0.000178332590280874,0.19589835042354,False,0,0,0,1.32046366473473,6.52135532768613,0.923076923076923,5.91172536781097,0.918502006241641,0.000114524579837948,0,True
gene_pheno_nervous_a90wrongDT,7.9067320552831,0,1.16032099866251,0.098427990287282,0,0.999110399430656,0.674543022737405,set(),0,0,0,False,0.160320998662506,0.325456977262595,0.000178332590280874,0.19589835042354,False,0,0,0,1.32046366473473,6.52135532768613,0.923076923076923,5.91172536781097,0.918502006241641,0.000114524579837948,0,True
