graph,Structural,Functional adequacy,Compatibility,Transferability,Operability,Reliability,Maintainability
gene_pheno_human_d20labels,3.93968253968254,3.6700000000000004,3.0,1.0,1.0,3.0,2.333333333333333
gene_pheno_human_d50labels,3.93968253968254,3.5366666666666666,3.0,1.0,1.0,3.0,2.333333333333333
gene_pheno_human_d90labels,3.93968253968254,3.3200000000000003,3.0,1.0,1.0,3.0,2.333333333333333
gene_pheno_human_d20descriptions,3.93968253968254,3.703333333333333,3.0,1.0,1.0,3.0,2.333333333333333
gene_pheno_human_d50descriptions,3.93968253968254,3.595,3.0,1.0,1.0,3.0,2.333333333333333
gene_pheno_human_d90descriptions,3.93968253968254,3.461666666666667,3.0,1.0,1.0,3.0,2.333333333333333
gene_pheno_human_a20language,3.93968253968254,3.753333333333333,3.0,1.0,1.0,3.0,2.333333333333333
gene_pheno_human_a50language,3.93968253968254,3.753333333333333,3.0,2.0,1.0,3.0,2.333333333333333
gene_pheno_human_a90language,3.93968253968254,3.753333333333333,3.0,3.0,1.0,3.0,2.333333333333333
gene_pheno_human_a20wrongDT,3.93968253968254,3.753333333333333,3.0,1.0,1.0,3.0,2.333333333333333
gene_pheno_human_a50wrongDT,3.7809523809523804,3.753333333333333,3.0,1.0,1.0,3.0,2.333333333333333
gene_pheno_human_a90wrongDT,3.6222222222222222,3.753333333333333,3.0,1.0,1.0,3.0,2.333333333333333
