graph,Structural,Functional adequacy,Compatibility,Transferability,Operability,Reliability,Maintainability
pheno_d20labels,3.8825396825396825,3.421666666666667,3.0,1.0,1.0,2.25,2.333333333333333
pheno_d50labels,3.8825396825396825,3.3133333333333335,3.0,1.0,1.0,2.25,2.333333333333333
pheno_d90labels,3.8825396825396825,3.146666666666667,3.0,1.0,1.0,2.25,2.333333333333333
pheno_d20descriptions,3.8825396825396825,3.421666666666667,3.0,1.0,1.0,2.25,2.333333333333333
pheno_d50descriptions,3.8825396825396825,3.3133333333333335,3.0,1.0,1.0,2.25,2.333333333333333
pheno_d90descriptions,3.8825396825396825,3.146666666666667,3.0,1.0,1.0,2.25,2.333333333333333
pheno_a20language,3.8825396825396825,3.505,3.0,1.5,1.0,2.25,2.333333333333333
pheno_a50language,3.8825396825396825,3.505,3.0,2.0,1.0,2.25,2.333333333333333
pheno_a90language,3.8825396825396825,3.505,3.0,3.0,1.0,2.25,2.333333333333333
pheno_a20wrongDT,3.8031746031746025,3.505,3.0,1.0,1.0,2.25,2.333333333333333
pheno_a50wrongDT,3.7238095238095235,3.505,3.0,1.0,1.0,2.25,2.333333333333333
pheno_a90wrongDT,3.565079365079365,3.505,3.0,1.0,1.0,2.25,2.333333333333333
