graph,Structural,Functional adequacy,Compatibility,Transferability,Operability,Reliability,Maintainability
pheno_d20labels,3.7682539682539686,3.0916666666666663,3.0,1.0,1.0,2.25,2.333333333333333
pheno_d50labels,3.7682539682539686,3.0666666666666664,3.0,1.0,1.0,2.25,2.333333333333333
pheno_d90labels,3.7682539682539686,3.0666666666666664,3.0,1.0,1.0,2.25,2.333333333333333
pheno_d20descriptions,3.7682539682539686,3.0916666666666663,3.0,1.0,1.0,2.25,2.333333333333333
pheno_d50descriptions,3.7682539682539686,3.0416666666666665,3.0,1.0,1.0,2.25,2.333333333333333
pheno_d90descriptions,3.7682539682539686,3.0416666666666665,3.0,1.0,1.0,2.25,2.333333333333333
pheno_a20language,3.7682539682539686,3.1166666666666663,3.0,1.5,1.0,2.25,2.333333333333333
pheno_a50language,3.7682539682539686,3.1166666666666663,3.0,2.0,1.0,2.25,2.333333333333333
pheno_a90language,3.7682539682539686,3.1166666666666663,3.0,3.0,1.0,2.25,2.333333333333333
pheno_a20wrongDT,3.6888888888888887,3.1166666666666663,3.0,1.0,1.0,2.25,2.333333333333333
pheno_a50wrongDT,3.6095238095238096,3.1166666666666663,3.0,1.0,1.0,2.25,2.333333333333333
pheno_a90wrongDT,3.450793650793651,3.1166666666666663,3.0,1.0,1.0,2.25,2.333333333333333
