graph,Annotation richness metric,Basic provenance metric,Classes per instance metric,Compatible datatype metric,Deprecated terms metric,Dereferenceable uris metric,Descriptions per instance metric,Different serialisation formats metric,Entities with no type metric,Evidence metric,Extensional conciseness metric,Human readable license metric,Instances with multiple types metric,Instances with no description metric,Instances with no name metric,Instances with no synonyms metric,Machine license metric,Misplaced class property metric,Misused properties metric,Multiple languages metric,Names per instance metric,Relations per node metric,Reuse terms metric,Synonyms per instance metric,Traceability of the data metric,Usage of undefined terms metric,Used vocabularies metric,Valid format metric
pheno_d20labels,2.43223965763195,0,1,1,0,0.335960858929057,0.278174037089872,set(),0,0,0,False,0,0.721825962910128,0.756918687589158,0.748359486447931,False,0,0,0,0.243081312410842,14.0379457917261,0.861111111111111,1.91098430813124,0.966333808844508,0.00062111801242236,0,True
pheno_d50labels,2.34094151212553,0,1,1,0,0.335960858929057,0.278174037089872,set(),0,0,0,False,0,0.721825962910128,0.848216833095578,0.748359486447931,False,0,0,0,0.151783166904422,13.9466476462197,0.861111111111111,1.91098430813124,0.966333808844508,0.000624770305034914,0,True
pheno_d90labels,2.21968616262482,0,1,1,0,0.335960858929057,0.278174037089872,set(),0,0,0,False,0,0.721825962910128,0.969472182596291,0.748359486447931,False,0,0,0,0.030527817403709,13.825392296719,0.861111111111111,1.91098430813124,0.966333808844508,0.000629687934067969,0,True
pheno_d20descriptions,2.43708987161198,0,1,1,0,0.335960858929057,0.222539229671897,set(),0,0,0,False,0,0.777460770328103,0.696433666191156,0.748359486447931,False,0,0,0,0.303566333808845,14.0427960057061,0.861111111111111,1.91098430813124,0.966333808844508,0.000620925178515989,0,True
pheno_d50descriptions,2.35378031383738,0,1,1,0,0.335960858929057,0.13922967189729,set(),0,0,0,False,0,0.86077032810271,0.696433666191156,0.748359486447931,False,0,0,0,0.303566333808845,13.9594864479315,0.861111111111111,1.91098430813124,0.966333808844508,0.000624254108142844,0,True
pheno_d90descriptions,2.24251069900143,0,1,1,0,0.335960858929057,0.0279600570613409,set(),0,0,0,False,0,0.972039942938659,0.696433666191156,0.748359486447931,False,0,0,0,0.303566333808845,13.8482168330956,0.861111111111111,1.91098430813124,0.966333808844508,0.000628756356911697,0,True
pheno_a20language,2.49272467902996,0,1,1,0,0.335960858929057,0.278174037089872,set(),0,0,0,False,0,0.721825962910128,0.696433666191156,0.748359486447931,False,0,0,0.206390105642876,0.303566333808845,14.0984308131241,0.861111111111111,1.91098430813124,0.966333808844508,0.000618721793565293,0,True
pheno_a50language,2.49272467902996,0,1,1,0,0.335960858929057,0.278174037089872,set(),0,0,0,False,0,0.721825962910128,0.696433666191156,0.748359486447931,False,0,0,0.503864983251739,0.303566333808845,14.0984308131241,0.861111111111111,1.91098430813124,0.966333808844508,0.000618721793565293,0,True
pheno_a90language,2.49272467902996,0,1,1,0,0.335960858929057,0.278174037089872,set(),0,0,0,False,0,0.721825962910128,0.696433666191156,0.748359486447931,False,0,0,0.901185261530533,0.303566333808845,14.0984308131241,0.861111111111111,1.91098430813124,0.966333808844508,0.000618721793565293,0,True
pheno_a20wrongDT,2.49272467902996,0,1,0.796721161331685,0,0.335960858929057,0.278174037089872,set(),0,0,0,False,0,0.721825962910128,0.696433666191156,0.748359486447931,False,0,0,0,0.303566333808845,14.0984308131241,0.861111111111111,1.91098430813124,0.966333808844508,0.000618721793565293,0,True
pheno_a50wrongDT,2.49272467902996,0,1,0.49871777258781,0,0.335960858929057,0.278174037089872,set(),0,0,0,False,0,0.721825962910128,0.696433666191156,0.748359486447931,False,0,0,0,0.303566333808845,14.0984308131241,0.861111111111111,1.91098430813124,0.966333808844508,0.000618721793565293,0,True
pheno_a90wrongDT,2.49272467902996,0,1,0.101547831661858,0,0.335960858929057,0.278174037089872,set(),0,0,0,False,0,0.721825962910128,0.696433666191156,0.748359486447931,False,0,0,0,0.303566333808845,14.0984308131241,0.861111111111111,1.91098430813124,0.966333808844508,0.000618721793565293,0,True
