count,dis,dis_label
112056,http://purl.obolibrary.org/obo/MONDO_0000001,disease
112056,http://purl.obolibrary.org/obo/MONDO_0700096,human disease
1708,http://purl.obolibrary.org/obo/MONDO_0020683,acute disease
100492,http://purl.obolibrary.org/obo/MONDO_7770006,disease by body system or component
48552,http://purl.obolibrary.org/obo/MONDO_7770007,disease by developmental or physiological process
102466,http://purl.obolibrary.org/obo/MONDO_7770008,disease by etiologic mechanism
14,http://purl.obolibrary.org/obo/MONDO_0000166,"encephalopathy, acute, infection-induced"
42,http://purl.obolibrary.org/obo/MONDO_0001208,acute respiratory failure
98,http://purl.obolibrary.org/obo/MONDO_0019956,encephalitis
1414,http://purl.obolibrary.org/obo/MONDO_0010643,acute leukemia
14,http://purl.obolibrary.org/obo/MONDO_0008294,acute intermittent porphyria
28,http://purl.obolibrary.org/obo/MONDO_0009929,"surfactant metabolism dysfunction, pulmonary, 1"
14,http://purl.obolibrary.org/obo/MONDO_0019542,acute liver failure
14,http://purl.obolibrary.org/obo/MONDO_0014744,acute infantile liver failure-cerebellar ataxia-peripheral sensory motor neuropathy syndrome
14,http://purl.obolibrary.org/obo/MONDO_0016573,acute fatty liver of pregnancy
14,http://purl.obolibrary.org/obo/MONDO_0016600,acute neonatal citrullinemia type I
14,http://purl.obolibrary.org/obo/MONDO_0018198,acute encephalopathy with biphasic seizures and late reduced diffusion
14,http://purl.obolibrary.org/obo/MONDO_0020347,acute inflammatory demyelinating polyradiculoneuropathy
14,http://purl.obolibrary.org/obo/MONDO_0035444,acute mast cell leukemia
4564,http://purl.obolibrary.org/obo/MONDO_0005039,reproductive system disorder
378,http://purl.obolibrary.org/obo/MONDO_0024623,otorhinolaryngologic disease
8778,http://purl.obolibrary.org/obo/MONDO_0002051,integumentary system disorder
28378,http://purl.obolibrary.org/obo/MONDO_0002254,syndromic disease
2926,http://purl.obolibrary.org/obo/MONDO_0005087,respiratory system disorder
3892,http://purl.obolibrary.org/obo/MONDO_0004335,digestive system disorder
9002,http://purl.obolibrary.org/obo/MONDO_0002022,disorder of orbital region
9464,http://purl.obolibrary.org/obo/MONDO_0005151,endocrine system disorder
20916,http://purl.obolibrary.org/obo/MONDO_0002081,musculoskeletal system disorder
8834,http://purl.obolibrary.org/obo/MONDO_0005570,hematologic disorder
