subcharacteristic,crm2tfac,crm2phen,crm2gene,crm,all
Formalisation,1,1,1,1,1
Structural accuracy,5,5,5,5,5
Consistency,3.428571429,3.571428571,3.428571429,4.428571429,4.428571429
Syntactic validity,2.333333333,2.333333333,2.333333333,3.666666667,3.666666667
Redundancy,2.94047619,2.976190476,2.94047619,3.523809524,3.523809524
Interpretability,2.94047619,2.976190476,2.94047619,3.523809524,3.523809524
Inference,2.8,3,2.8,3.4,3.4
Understandability,3.5,3.5,3.5,3.5,3.5
Trustworthiness,3,1,3,3,3
Provenance,1,1,1,1,1
Clustering,3.166666667,3.333333333,3.166666667,3.666666667,3.666666667
Interoperability,3,3,3,3,3
Versatility,1,1,1,1,1
Licensing,1,1,1,1,1
Accessibility,2,2,2,2,2
Reusability,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667
