Metric,Result
Annotation properties metric,3.0151405912040374
Basic provenance metric,0.0
Classes per instances metric,1.0
Compatible datatype metric,0.5380543235413062
Deprecated terms metric,0.0
Dereferenceable uris metric,0.9853925301442719
Descriptions per instance metric,0.4998905654547327
Serialization formats metric,set()
Entities with no type metric,0.02390592104443586
Evidence metric,2.518127510557215
Extensional conciseness metric,0.0
Human readable license metric,False
Instances with multiple types metric,0.0
Instances with no description metric,0.5001094345452672
Instances with no name metric,0.5
Instances with no synonyms metric,0.9999871253476156
Machine license metric,False
Misplaced class property metric,0.0
Misused properties metric,0.0
Multiple languages metric,0.04905116255117543
Names per instance,0.5
Relation per node,6.911390473283608
Reuse terms metric,0.9999220870287888
Synonyms per instance metric,1.2874652384385621e-05
Traceability of the data metric,0.0
Usage of undefined terms metric,1.3582635958191048e-05
Used vocabularies metric,0.0
Valid format metric,True
