Metric,Result
Annotation properties metric,0.20003167564143173
Basic provenance metric,0.0
Classes per instances metric,1.0
Compatible datatype metric,0.37518463810930575
Deprecated terms metric,0.0
Dereferenceable uris metric,0.9782314459733814
Descriptions per instance metric,0.09993664871713652
Serialization formats metric,set()
Entities with no type metric,0.40275229357798165
Evidence metric,0.05701615457713019
Extensional conciseness metric,0.0
Human readable license metric,False
Instances with multiple types metric,0.0
Instances with no description metric,0.9000633512828635
Instances with no name metric,0.8999049730757048
Instances with no synonyms metric,1.0
Machine license metric,False
Misplaced class property metric,0.0
Misused properties metric,0.0
Multiple languages metric,0.47310126582278483
Names per instance,0.10009502692429521
Relation per node,3.7695381360911977
Reuse terms metric,0.9990237552879921
Synonyms per instance metric,0.0
Traceability of the data metric,0.0
Usage of undefined terms metric,0.0003825310806503028
Used vocabularies metric,0.0
Valid format metric,True
