Metric,Result
Annotation properties metric,2.1348060344827586
Basic provenance metric,0.0
Classes per instances metric,1.0
Compatible datatype metric,0.3354648303000492
Deprecated terms metric,0.0
Dereferenceable uris metric,0.8883459565111166
Descriptions per instance metric,0.7995689655172413
Serialization formats metric,set()
Entities with no type metric,0.6455621736892418
Evidence codes metric,0.0
Evidence metric,0.9875
Extensional conciseness metric,0.0
Human readable license metric,False
Instances with multiple types metric,0.0
Instances with no description metric,0.20043103448275862
Instances with no name metric,0.3
Instances with no synonyms metric,1.0
Machine license metric,False
Misplaced class property metric,0.0
Misused properties metric,0.0
Multiple languages metric,0.6054495073891626
Names per instance,0.7
Relation per node,3.758181516141536
Reuse terms metric,0.9993299084208175
Synonyms per instance metric,0.0
Traceability of the data metric,0.0
Usage of undefined terms metric,0.00020439587392862495
Used vocabularies metric,0.0
Valid format metric,True
