Metric,Result
Annotation properties metric,1.8808414469916257
Basic provenance metric,0.0
Classes per instances metric,1.0
Compatible datatype metric,1.0
Deprecated terms metric,0.0
Dereferenceable uris metric,0.9967773611266715
Descriptions per instance metric,0.3990062381003978
Serialization formats metric,set()
Entities with no type metric,0.3311951598086731
Evidence codes metric,0.0
Evidence metric,0.0
Extensional conciseness metric,0.0
Human readable license metric,False
Instances with multiple types metric,0.0
Instances with no description metric,0.6009937618996022
Instances with no name metric,0.0
Instances with no synonyms metric,0.7940498119282386
Machine license metric,False
Misplaced class property metric,2.8205929320280498e-05
Misused properties metric,0.0
Multiple languages metric,0.0
Names per instance,1.0
Relation per node,4.55112613139369
Reuse terms metric,0.9997320830542532
Synonyms per instance metric,0.48183520889122794
Traceability of the data metric,0.0
Usage of undefined terms metric,9.19390168501233e-06
Used vocabularies metric,0.0
Valid format metric,True
