Metric,Result
Annotation properties metric,1.6857560825377271
Basic provenance metric,0.0
Classes per instances metric,1.0
Compatible datatype metric,0.0
Deprecated terms metric,0.0
Dereferenceable uris metric,0.9998684078934209
Descriptions per instance metric,0.318032029565753
Serialization formats metric,set()
Entities with no type metric,0.0
Evidence codes metric,0.0
Evidence metric,0.0
Extensional conciseness metric,0.0
Human readable license metric,False
Instances with multiple types metric,0.0
Instances with no description metric,0.681967970434247
Instances with no name metric,0
Instances with no synonyms metric,0.7906529103788112
Machine license metric,False
Misplaced class property metric,1.7512777030241648e-05
Misused properties metric,0.0
Multiple languages metric,0.0
Names per instance,1.0
Relation per node,3.7884508777332924
Reuse terms metric,0.9997994585380527
Synonyms per instance metric,0.36772405297197414
Traceability of the data metric,0.0
Usage of undefined terms metric,1.2424521034714112e-05
Used vocabularies metric,0.0
Valid format metric,True
