Graph,Annotation properties metric,Basic provenance metric,Classes per instances metric,Compatible datatype metric,Deprecated terms metric,Dereferenceable uris metric,Descriptions per instance metric,Entities with no type metric,Evidence metric,Extensional conciseness metric,Human readable license metric,Instances with multiple types metric,Instances with no description metric,Instances with no name metric,Instances with no synonyms metric,Machine license metric,Misplaced class property metric,Misused properties metric,Multiple languages metric,Names per instance,Relation per node,Reuse terms metric,Serialization formats metric,Synonyms per instance metric,Traceability of the data metric,Usage of undefined terms metric,Used vocabularies metric,Valid format metric
crm2tfac_a20language,4.910944206008583,0.0,1.0,1.0,0.0,0.8842812006319115,0.9957081545064378,0.723404255319149,3.4206008583690988,0.0,False,0.0,0.004291845493562232,0.0,0.9989270386266095,False,0.0,0.0,0.2057877813504823,1.0,3.9355287569573285,0.9916839916839917,set(),0.001072961373390558,0.0,0.0012033694344163659,0.0,True
crm2tfac_a20wrongDT,4.910944206008583,0.0,1.0,0.800107469102633,0.0,0.9996050552922591,0.9957081545064378,0.723404255319149,3.4206008583690988,0.0,False,0.0,0.004291845493562232,0.0,0.9989270386266095,False,0.0,0.0,0.0,1.0,3.9355287569573285,0.9916839916839917,set(),0.001072961373390558,0.0,0.0012033694344163659,0.0,True
crm2tfac_a50language,4.910944206008583,0.0,1.0,1.0,0.0,0.8842812006319115,0.9957081545064378,0.723404255319149,3.4206008583690988,0.0,False,0.0,0.004291845493562232,0.0,0.9989270386266095,False,0.0,0.0,0.48767416934619506,1.0,3.9355287569573285,0.9916839916839917,set(),0.001072961373390558,0.0,0.0012033694344163659,0.0,True
crm2tfac_a50wrongDT,4.910944206008583,0.0,1.0,0.5008060182697475,0.0,0.8842812006319115,0.9957081545064378,0.723404255319149,3.4206008583690988,0.0,False,0.0,0.004291845493562232,0.0,0.9989270386266095,False,0.0,0.0,0.0,1.0,3.9355287569573285,0.9916839916839917,set(),0.001072961373390558,0.0,0.0012033694344163659,0.0,True
crm2tfac_a90language,4.910944206008583,0.0,1.0,1.0,0.0,0.8842812006319115,0.9957081545064378,0.723404255319149,3.4206008583690988,0.0,False,0.0,0.004291845493562232,0.0,0.9989270386266095,False,0.0,0.0,0.887459807073955,1.0,3.9355287569573285,0.9916839916839917,set(),0.001072961373390558,0.0,0.0012033694344163659,0.0,True
crm2tfac_a90wrongDT,4.910944206008583,0.0,1.0,0.10746910263299302,0.0,0.8842812006319115,0.9957081545064378,0.723404255319149,3.4206008583690988,0.0,False,0.0,0.004291845493562232,0.0,0.9989270386266095,False,0.0,0.0,0.0,1.0,3.9355287569573285,0.9916839916839917,set(),0.001072961373390558,0.0,0.0012033694344163659,0.0,True
crm2tfac_d20descriptions,4.71244635193133,0.0,1.0,1.0,0.0,0.8842812006319115,0.7972103004291845,0.723404255319149,3.4206008583690988,0.0,False,0.0,0.20278969957081544,0.0,0.9989270386266095,False,0.0,0.0,0.0,1.0,3.849721706864564,0.9916839916839917,set(),0.001072961373390558,0.0,0.0012214983713355048,0.0,True
crm2tfac_d20labels,4.71137339055794,0.0,1.0,1.0,0.0,0.8842812006319115,0.9957081545064378,0.723404255319149,3.4206008583690988,0.0,False,0.0,0.004291845493562232,0.19957081545064378,0.9989270386266095,False,0.0,0.0,0.0,0.8004291845493562,3.849257884972171,0.9916839916839917,set(),0.001072961373390558,0.0,0.001221597849987784,0.0,True
crm2tfac_d50descriptions,4.413090128755365,0.0,1.0,1.0,0.0,0.8842812006319115,0.4978540772532189,0.723404255319149,3.4206008583690988,0.0,False,0.0,0.5021459227467812,0.0,0.9989270386266095,False,0.0,0.0,0.0,1.0,3.7203153988868274,0.9916839916839917,set(),0.001072961373390558,0.0,0.0012498958420131656,0.0,True
crm2tfac_d50labels,4.410944206008583,0.0,1.0,1.0,0.0,0.8842812006319115,0.9957081545064378,0.723404255319149,3.4206008583690988,0.0,False,0.0,0.004291845493562232,0.5,0.9989270386266095,False,0.0,0.0,0.0,0.5,3.7193877551020407,0.9916839916839917,set(),0.001072961373390558,0.0,0.0012501041753479457,0.0,True
crm2tfac_d90descriptions,4.015021459227468,0.0,1.0,1.0,0.0,0.8842812006319115,0.09978540772532189,0.723404255319149,3.4206008583690988,0.0,False,0.0,0.9002145922746781,0.0,0.9989270386266095,False,0.0,0.0,0.0,1.0,3.5482374768089056,0.9916839916839917,set(),0.001072961373390558,0.0,0.0012897678417884782,0.0,True
crm2tfac_d90labels,4.011802575107296,0.0,1.0,1.0,0.0,0.8842812006319115,0.9957081545064378,0.723404255319149,3.4206008583690988,0.0,False,0.0,0.004291845493562232,0.8991416309012875,0.9989270386266095,False,0.0,0.0,0.0,0.10085836909871244,3.5468460111317253,0.9916839916839917,set(),0.001072961373390558,0.0,0.0012901006278489722,0.0,True
