Graph,Structural,Functional adequacy,Compatibility,Transferability,Operability,Reliability,Maintainability
crm2genegraph_a20language,3.711111111111111,2.21,3.0,1.5,1.0,2.0,1.6666666666666667
crm2genegraph_a20wrongDT,3.711111111111111,2.21,3.0,1.0,1.0,2.0,1.6666666666666667
crm2genegraph_a50language,3.711111111111111,2.21,3.0,2.0,1.0,2.0,1.6666666666666667
crm2genegraph_a50wrongDT,3.5523809523809526,2.21,3.0,1.0,1.0,2.0,1.6666666666666667
crm2genegraph_a90language,3.711111111111111,2.21,3.0,3.0,1.0,2.0,1.6666666666666667
crm2genegraph_a90wrongDT,3.393650793650794,2.21,3.0,1.0,1.0,2.0,1.6666666666666667
crm2genegraph_d20descriptions,3.711111111111111,2.1350000000000002,3.0,1.0,1.0,2.0,1.6666666666666667
crm2genegraph_d20labels,3.711111111111111,2.1350000000000002,3.0,1.0,1.0,2.0,1.6666666666666667
crm2genegraph_d50descriptions,3.711111111111111,2.085,3.0,1.0,1.0,2.0,1.6666666666666667
crm2genegraph_d50labels,3.711111111111111,2.085,3.0,1.0,1.0,2.0,1.6666666666666667
crm2genegraph_d90descriptions,3.711111111111111,1.9600000000000002,3.0,1.0,1.0,2.0,1.6666666666666667
crm2genegraph_d90labels,3.711111111111111,1.9600000000000002,3.0,1.0,1.0,2.0,1.6666666666666667
