Graph,Structural,Functional adequacy,Compatibility,Transferability,Operability,Reliability,Maintainability
crm2tfac_a20language,3.711111111111111,2.7933333333333334,3.0,1.5,1.0,2.0,1.6666666666666667
crm2tfac_a20wrongDT,3.711111111111111,2.7933333333333334,3.0,1.0,1.0,2.0,1.6666666666666667
crm2tfac_a50language,3.711111111111111,2.7933333333333334,3.0,2.0,1.0,2.0,1.6666666666666667
crm2tfac_a50wrongDT,3.5523809523809526,2.7933333333333334,3.0,1.0,1.0,2.0,1.6666666666666667
crm2tfac_a90language,3.711111111111111,2.7933333333333334,3.0,3.0,1.0,2.0,1.6666666666666667
crm2tfac_a90wrongDT,3.393650793650794,2.7933333333333334,3.0,1.0,1.0,2.0,1.6666666666666667
crm2tfac_d20descriptions,3.711111111111111,2.743333333333333,3.0,1.0,1.0,2.0,1.6666666666666667
crm2tfac_d20labels,3.711111111111111,2.7683333333333335,3.0,1.0,1.0,2.0,1.6666666666666667
crm2tfac_d50descriptions,3.711111111111111,2.6933333333333334,3.0,1.0,1.0,2.0,1.6666666666666667
crm2tfac_d50labels,3.711111111111111,2.6933333333333334,3.0,1.0,1.0,2.0,1.6666666666666667
crm2tfac_d90descriptions,3.711111111111111,2.5683333333333334,3.0,1.0,1.0,2.0,1.6666666666666667
crm2tfac_d90labels,3.711111111111111,2.5683333333333334,3.0,1.0,1.0,2.0,1.6666666666666667
