Metric,Result
Annotation properties metric,2.0717049640107765
Basic provenance metric,0.0
Classes per instances metric,1.0
Compatible datatype metric,0.7862534924482134
Deprecated terms metric,0.0
Dereferenceable uris metric,0.9617230324932412
Descriptions per instance metric,0.09997847047254403
Serialization formats metric,set()
Entities with no type metric,0.07565296026384383
Evidence metric,2.3501399419284636
Extensional conciseness metric,0.0
Human readable license metric,False
Instances with multiple types metric,0.0
Instances with no description metric,0.900021529527456
Instances with no name metric,0.8999982543626387
Instances with no synonyms metric,0.999982543626387
Machine license metric,False
Misplaced class property metric,0.0
Misused properties metric,0.0
Multiple languages metric,0.450113444644831
Names per instance,0.10000174563736129
Relation per node,5.893416700192213
Reuse terms metric,0.9999294109342463
Synonyms per instance metric,1.7456373612945645e-05
Traceability of the data metric,0.0
Usage of undefined terms metric,1.954029820123413e-05
Used vocabularies metric,0.0
Valid format metric,True
