file,classes,object_properties,datatype_properties,annotation_properties,instances,all_properties,undefined_properties
crm_d50labels.ttl,77025,0,0,0,78319,18,18
all_d50labels.ttl,85011,0,0,0,86846,25,25
all_d50descriptions.ttl,85011,0,0,0,86846,25,25
crm_d50descriptions.ttl,77025,0,0,0,78319,18,18
all_a50language.ttl,85011,0,0,0,86846,25,25
crm_a50language.ttl,77025,0,0,0,78319,18,18
all_a50datatypes.ttl,85011,0,0,0,86846,25,25
crm_a50datatypes.ttl,77025,0,0,0,78319,18,18
all_a30wrongDT.ttl,85011,0,0,0,86846,25,25
crm_a30wrongDT.ttl,77025,0,0,0,78319,18,18
all_d50labdesc_a50langDT_a30wrongDT.ttl,85011,0,0,0,86846,25,25
crm_d50labdesc_a50langDT_a30wrongDT.ttl,77025,0,0,0,78319,18,18
crm2gene_d50labdesc_a50langDT_a30wrongDT.ttl,4466,0,0,0,4814,16,16
crm2gene_a50datatypes.ttl,4466,0,0,0,4814,16,16
crm2gene_d50descriptions.ttl,4466,0,0,0,4814,16,16
crm2gene_d50labels.ttl,4466,0,0,0,4814,16,16
crm2gene_a50language.ttl,4466,0,0,0,4814,16,16
crm2gene_a30wrongDT.ttl,4466,0,0,0,4814,16,16
crm2phen_d50labdesc_a50langDT_a30wrongDT.ttl,3065,0,0,0,3249,13,13
crm2phen_a50datatypes.ttl,3065,0,0,0,3249,13,13
crm2phen_d50descriptions.ttl,3065,0,0,0,3249,13,13
crm2phen_d50labels.ttl,3065,0,0,0,3249,13,13
crm2phen_a50language.ttl,3065,0,0,0,3249,13,13
crm2phen_a30wrongDT.ttl,3065,0,0,0,3249,13,13
crm2tfac_d50labdesc_a50langDT_a30wrongDT.ttl,468,0,0,0,464,16,16
crm2tfac_a50datatypes.ttl,468,0,0,0,464,16,16
crm2tfac_d50descriptions.ttl,468,0,0,0,464,16,16
crm2tfac_d50labels.ttl,468,0,0,0,464,16,16
crm2tfac_a50language.ttl,468,0,0,0,464,16,16
crm2tfac_a30wrongDT.ttl,468,0,0,0,464,16,16
crm2tfac_a10wrongDT.ttl,468,0,0,0,464,16,16
crm2tfac_a90language.ttl,468,0,0,0,464,16,16
crm2tfac_d20labels.ttl,468,0,0,0,464,16,16
crm2tfac_d20descriptions.ttl,468,0,0,0,464,16,16
crm2tfac_a90datatypes.ttl,468,0,0,0,464,16,16
crm2tfac_d20labdesc_a90langDT_a10wrongDT.ttl,468,0,0,0,464,16,16
crm_a10wrongDT.ttl,77025,0,0,0,78319,18,18
crm_a90language.ttl,77025,0,0,0,78319,18,18
crm_d20labels.ttl,77025,0,0,0,78319,18,18
crm_d20descriptions.ttl,77025,0,0,0,78319,18,18
crm_a90datatypes.ttl,77025,0,0,0,78319,18,18
crm_d20labdesc_a90langDT_a10wrongDT.ttl,77025,0,0,0,78319,18,18
crm2phen_a10wrongDT.ttl,3065,0,0,0,3249,13,13
crm2phen_a90language.ttl,3065,0,0,0,3249,13,13
crm2phen_d20labels.ttl,3065,0,0,0,3249,13,13
crm2phen_d20descriptions.ttl,3065,0,0,0,3249,13,13
crm2phen_a90datatypes.ttl,3065,0,0,0,3249,13,13
crm2phen_d20labdesc_a90langDT_a10wrongDT.ttl,3065,0,0,0,3249,13,13
crm2gene_a10wrongDT.ttl,4466,0,0,0,4814,16,16
crm2gene_a90language.ttl,4466,0,0,0,4814,16,16
crm2gene_d20labels.ttl,4466,0,0,0,4814,16,16
crm2gene_d20descriptions.ttl,4466,0,0,0,4814,16,16
crm2gene_a90datatypes.ttl,4466,0,0,0,4814,16,16
crm2gene_d20labdesc_a90langDT_a10wrongDT.ttl,4466,0,0,0,4814,16,16
all_a10wrongDT.ttl,85011,0,0,0,86846,25,25
all_a90language.ttl,85011,0,0,0,86846,25,25
all_d20labels.ttl,85011,0,0,0,86846,25,25
all_d20descriptions.ttl,85011,0,0,0,86846,25,25
all_a90datatypes.ttl,85011,0,0,0,86846,25,25
all_d20labdesc_a90langDT_a10wrongDT.ttl,85011,0,0,0,86846,25,25
all_d90labels.ttl,85011,0,0,0,86846,25,25
crm_d90labels.ttl,77025,0,0,0,78319,18,18
crm_d90descriptions.ttl,77025,0,0,0,78319,18,18
all_d90descriptions.ttl,85011,0,0,0,86846,25,25
crm_a20language.ttl,77025,0,0,0,78319,18,18
all_a20language.ttl,85011,0,0,0,86846,25,25
crm_a20datatypes.ttl,77025,0,0,0,78319,18,18
all_a20datatypes.ttl,85011,0,0,0,86846,25,25
crm_a50wrongDT.ttl,77025,0,0,0,78319,18,18
all_a50wrongDT.ttl,85011,0,0,0,86846,25,25
crm_d90labdesc_a20langDT_a50wrongDT.ttl,77025,0,0,0,78319,18,18
all_d90labdesc_a20langDT_a50wrongDT.ttl,85011,0,0,0,86846,25,25
crm2phen_a50wrongDT.ttl,3065,0,0,0,3249,13,13
crm2tfac_d90labdesc_a20langDT_a50wrongDT.ttl,468,0,0,0,464,16,16
crm2tfac_a20datatypes.ttl,468,0,0,0,464,16,16
crm2tfac_d90descriptions.ttl,468,0,0,0,464,16,16
crm2tfac_d90labels.ttl,468,0,0,0,464,16,16
crm2tfac_a50wrongDT.ttl,468,0,0,0,464,16,16
crm2gene_d90labdesc_a20langDT_a50wrongDT.ttl,4466,0,0,0,4814,16,16
crm2gene_a20datatypes.ttl,4466,0,0,0,4814,16,16
crm2gene_d90descriptions.ttl,4466,0,0,0,4814,16,16
crm2gene_d90labels.ttl,4466,0,0,0,4814,16,16
crm2gene_a20language.ttl,4466,0,0,0,4814,16,16
crm2gene_a50wrongDT.ttl,4466,0,0,0,4814,16,16
crm2phen_d90labdesc_a20langDT_a50wrongDT.ttl,3065,0,0,0,3249,13,13
crm2phen_a20datatypes.ttl,3065,0,0,0,3249,13,13
crm2phen_d90descriptions.ttl,3065,0,0,0,3249,13,13
crm2phen_d90labels.ttl,3065,0,0,0,3249,13,13
crm2phen_a20language.ttl,3065,0,0,0,3249,13,13
crm2tfac_a20language.ttl,468,0,0,0,464,16,16
crm_d90labdesc_a90langDT_a50wrongDT.ttl,77025,0,0,0,78319,18,18
all_d90labdesc_a90langDT_a50wrongDT.ttl,85011,0,0,0,86846,25,25
crm2gene_d90labdesc_a90langDT_a50wrongDT.ttl,4466,0,0,0,4814,16,16
crm2phen_d90labdesc_a90langDT_a50wrongDT.ttl,3065,0,0,0,3249,13,13
crm2tfac_d90labdesc_a90langDT_a50wrongDT.ttl,468,0,0,0,464,16,16
all_a90wrongDT.ttl,85011,0,0,0,86846,25,25
crm_a90wrongDT.ttl,77025,0,0,0,78319,18,18
crm2gene_d50labdesc_a50langDT_a90wrongDT.ttl,4466,0,0,0,4814,16,16
crm2gene_a90wrongDT.ttl,4466,0,0,0,4814,16,16
crm2phen_d50labdesc_a50langDT_a90wrongDT.ttl,3065,0,0,0,3249,13,13
crm2phen_a90wrongDT.ttl,3065,0,0,0,3249,13,13
crm2tfac_d50labdesc_a50langDT_a90wrongDT.ttl,468,0,0,0,464,16,16
crm2tfac_a90wrongDT.ttl,468,0,0,0,464,16,16
crm_d50labdesc_a50langDT_a90wrongDT.ttl,77025,0,0,0,78319,18,18
all_d50labdesc_a50langDT_a90wrongDT.ttl,85011,0,0,0,86846,25,25
crm2tfac_d40labdesc.ttl,468,0,0,0,464,16,16
crm2phen_d40labdesc.ttl,3065,0,0,0,3249,13,13
crm2gene_d40labdesc.ttl,4466,0,0,0,4814,16,16
crm2tfac_d40labdesc_a50wrongDT.ttl,468,0,0,0,464,16,16
crm2phen_d40labdesc_a50wrongDT.ttl,3065,0,0,0,3249,13,13
crm2gene_d40labdesc_a50wrongDT.ttl,4466,0,0,0,4814,16,16
crm2tfac_a90DT_a90wrongDT.ttl,468,0,0,0,464,16,16
crm_a90DT_a90wrongDT.ttl,77025,0,0,0,78319,18,18
all_a90DT_a90wrongDT.ttl,85011,0,0,0,86846,25,25
crm_d40labdesc_a50wrongDT.ttl,77025,0,0,0,78319,18,18
all_d40labdesc_a50wrongDT.ttl,85011,0,0,0,86846,25,25
all_d40labdesc.ttl,85011,0,0,0,86846,25,25
crm_d40labdesc.ttl,77025,0,0,0,78319,18,18
crm2gene_a90DT_a90wrongDT.ttl,4466,0,0,0,4814,16,16
crm2phen_a90DT_a90wrongDT.ttl,3065,0,0,0,3249,13,13
