Metric,Result
Annotation properties metric,2.2152320012359668
Basic provenance metric,0.0
Classes per instances metric,1.0
Compatible datatype metric,0.7895143042570733
Deprecated terms metric,0.0
Dereferenceable uris metric,0.9568515171937174
Descriptions per instance metric,0.09997811309094655
Serialization formats metric,set()
Entities with no type metric,0.02390592104443586
Evidence metric,2.518127510557215
Extensional conciseness metric,0.0
Human readable license metric,False
Instances with multiple types metric,0.0
Instances with no description metric,0.9000218869090535
Instances with no name metric,0.8999961376042847
Instances with no synonyms metric,0.9999871253476156
Machine license metric,False
Misplaced class property metric,0.0
Misused properties metric,0.0
Multiple languages metric,0.45027997682950377
Names per instance,0.10000386239571532
Relation per node,6.121242758945207
Reuse terms metric,0.9999220870287888
Synonyms per instance metric,1.2874652384385621e-05
Traceability of the data metric,0.0
Usage of undefined terms metric,1.507978537030187e-05
Used vocabularies metric,0.0
Valid format metric,True
