Metric,Result
Annotation properties metric,1.9990497307570478
Basic provenance metric,0.0
Classes per instances metric,1.0
Compatible datatype metric,0.0
Deprecated terms metric,0.0
Dereferenceable uris metric,0.998533724340176
Descriptions per instance metric,0.9990497307570478
Serialization formats metric,set()
Entities with no type metric,0.40275229357798165
Evidence codes metric,0.0
Evidence metric,0.05701615457713019
Extensional conciseness metric,0.0
Human readable license metric,False
Instances with multiple types metric,0.0
Instances with no description metric,0.0009502692429521698
Instances with no name metric,0
Instances with no synonyms metric,1.0
Machine license metric,False
Misplaced class property metric,0.0
Misused properties metric,0.0
Multiple languages metric,0.0
Names per instance,1.0
Relation per node,5.104477611940299
Reuse terms metric,0.9990237552879921
Synonyms per instance metric,0.0
Traceability of the data metric,0.0
Usage of undefined terms metric,0.00028083971073509796
Used vocabularies metric,0.0
Valid format metric,True
